ifd0_make,ifd0_model,dht_id,count(*)
4,585,2415,1
4,585,2416,1
4,585,2417,1
4,585,2418,1
4,585,2419,1
4,585,2420,1
4,585,2421,1
4,585,2422,1
4,585,2423,1
4,585,2424,1
4,585,2425,1
4,585,2426,1
4,585,2427,1
4,585,2428,1
4,585,2429,1
4,585,2430,1
4,585,2431,1
4,585,2432,1
4,585,2433,1
4,585,2434,1
4,585,2435,1
4,585,2436,1
4,585,2437,1
4,585,2438,1
4,585,2439,1
4,585,2440,1
4,585,2441,1
4,585,2442,1
4,585,2443,1
4,585,2444,1
4,585,2445,1
4,585,2446,1
4,585,2447,1
4,585,2448,1
4,585,2449,1
4,585,2450,1
4,585,2451,1
4,585,2452,1
4,585,2453,1
4,585,2454,1
4,585,2455,1
4,585,2456,1
4,585,2457,1
4,585,2458,1
4,585,2459,1
4,585,2460,1
4,585,2461,1
4,585,2462,1
4,585,2463,1
4,585,2464,1
4,585,2465,1
4,585,2466,1
4,585,2467,1
4,585,2468,1
4,585,2469,1
4,585,2470,1
4,585,2471,1
4,585,2472,1
4,585,2473,1
4,585,2474,1
4,585,2475,1
4,585,2476,1
4,585,2477,1
4,585,2478,1
4,585,2479,1
4,585,2480,1
4,585,2481,1
4,585,2482,1
4,585,2483,1
4,585,2484,1
4,585,2485,1
4,585,2486,1
4,585,2487,1
4,585,2488,1
4,585,2489,1
4,585,2490,1
4,585,2491,1
4,585,2492,1
4,585,2493,1
4,585,2494,1
4,585,2495,1
4,585,2496,1
4,585,2497,1
4,585,2498,1
4,585,2499,1
4,585,2500,1
4,585,2501,1
4,585,2502,1
4,585,2503,1
4,585,2504,1
4,585,2505,1
4,585,2506,1
4,585,2507,1
4,585,2508,1
4,585,2509,1
4,585,2510,1
4,585,2511,1
4,592,1,125
4,625,1,2967
4,631,1,797
4,632,1,29
4,636,1,229
4,639,1,385
4,647,1,31
4,681,1,850
4,681,5473,1
4,681,5474,1
4,681,5475,1
4,681,5476,1
4,681,5477,1
4,692,1,940
4,693,1,115
4,705,1,1233
4,705,3405,24
4,707,1,368
4,726,1,1377
4,774,1,256
4,780,1,1558
4,830,1,56
4,865,1,1716
4,868,1,85
4,884,1,538
4,899,1,427
4,901,1,786
4,907,1,547
4,907,5628,1
4,907,5629,1
4,907,5630,1
4,907,5631,1
4,907,5632,1
4,907,5633,1
4,907,5634,1
4,907,5635,1
4,907,5636,1
4,907,5637,1
4,907,5638,1
4,907,5639,1
4,907,5640,1
4,907,5641,1
4,907,5642,1
4,907,5643,1
4,907,5644,1
4,907,5645,1
4,907,5646,1
4,907,5647,1
4,907,5648,1
4,907,5649,1
4,907,5650,1
4,907,5651,1
4,907,5652,1
4,907,5653,1
4,907,5654,1
4,907,5655,1
4,907,5656,1
