ifd0_make#ifd0_model#ifds_ExposureProgram#Count
1#1##1425
1#2##1984
4#2545#Shutter priority#3
4#2574##161
4#2577#2480#1
4#2577#2496#3
4#2577#2560#1
4#2577#2624#1
4#2577#2768#1
4#2577#2896#1
4#2577#3552#1
4#2577#3664#1
4#2577#3888#1
4#2577#5632#1
4#2577#5680#1
4#2577#5696#1
4#2577#5920#1
4#2577#5936#1
4#2577#6160#1
4#2577#6256#1
4#2577#6944#1
4#2577#7136#1
4#2577#7248#1
4#2577#7312#1
4#2577#7376#1
4#2577#7456#1
4#2577#7680#1
4#2577#7824#1
4#2577#Aperture priority#39
4#2577#Manual#7
4#2577#Normal program#46
4#2577#Shutter priority#2
4#2590#Normal program#1725
4#2601#Aperture priority#21
4#2601#Manual#1
4#2601#Normal program#33
4#2686#Landscape mode#2
4#2686#Normal program#5
4#2715##33
4#2725#Normal program#3
4#2750#Aperture priority#1
4#2751#Landscape mode#5
4#2751#Normal program#9
4#2761#Aperture priority#45
4#2761#Manual#1
4#2761#Normal program#299
4#2780#Normal program#13
4#2819#Normal program#33
4#2849##7
4#2852#Landscape mode#3
4#2852#Normal program#9
4#2852#Portrait mode#2
4#2906#Normal program#43
4#2970#Landscape mode#4
4#2970#Normal program#29
4#2970#Portrait mode#2
4#2975##1
4#2993#Normal program#60
4#3014##1
4#3015#Normal program#26
4#3070##2
4#3102#Aperture priority#345
4#3102#Manual#120
4#3102#Normal program#168
4#3102#Shutter priority#63
4#3130##1
4#3174##4
4#3189#Normal program#1
4#3299#Normal program#162
4#3299#Portrait mode#31
4#3303#Landscape mode#1
4#3303#Normal program#6
4#3313##2
4#3315#Landscape mode#2
4#3315#Normal program#3
4#3315#Portrait mode#1
4#3315#Shutter priority#1
4#3328##1
4#3346#Landscape mode#2
4#3346#Normal program#8
4#3352#Landscape mode#1
4#3352#Normal program#5
4#3352#Portrait mode#1
4#3415#Landscape mode#1
4#3415#Normal program#14
4#3431##1
4#3442#Landscape mode#4
4#3442#Normal program#7
4#3442#Portrait mode#1
4#3458#Normal program#8
4#3464#Normal program#4
4#3466##1453
4#3475##1
4#3485##6
4#3604#Normal program#12
4#3623#Landscape mode#1
4#3623#Normal program#20
4#3651#Normal program#2
4#3658#Normal program#1
4#3729#Aperture priority#35
4#3729#Landscape mode#1
4#3729#Manual#3
