ifd0_make#ifd0_model#ifds_FocalLength#Count
1#1##40
1#1#5 mm#1385
4#253#23 mm#7
4#253#5 mm#238
4#253#6 mm#13
4#253#7 mm#10
4#253#8 mm#11
4#253#9 mm#6
4#261#4 mm#14
4#261#5 mm#2
4#261#6 mm#2
4#261#8 mm#1
4#266#10 mm#35
4#266#11 mm#11
4#266#12 mm#13
4#266#13 mm#13
4#266#14 mm#14
4#266#15 mm#4
4#266#16 mm#4
4#266#17 mm#65
4#266#6 mm#485
4#266#7 mm#17
4#266#8 mm#47
4#266#9 mm#10
4#267##5
4#267#10 mm#8
4#267#11 mm#16
4#267#13 mm#13
4#267#15 mm#13
4#267#16 mm#10
4#267#17 mm#3
4#267#18 mm#4
4#267#19 mm#3
4#267#21 mm#9
4#267#23 mm#8
4#267#24 mm#2
4#267#26 mm#2
4#267#28 mm#4
4#267#29 mm#6
4#267#33 mm#6
4#267#37 mm#28
4#267#6 mm#248
4#267#7 mm#9
4#267#8 mm#8
4#267#9 mm#13
4#268#10 mm#28
4#268#11 mm#12
4#268#12 mm#21
4#268#13 mm#22
4#268#14 mm#22
4#268#15 mm#12
4#268#16 mm#12
4#268#17 mm#11
4#268#18 mm#15
4#268#19 mm#7
4#268#21 mm#10
4#268#22 mm#9
4#268#23 mm#11
4#268#24 mm#4
4#268#26 mm#10
4#268#28 mm#7
4#268#31 mm#14
4#268#33 mm#7
4#268#36 mm#8
4#268#38 mm#10
4#268#4 mm#516
4#268#41 mm#5
4#268#44 mm#11
4#268#47 mm#3
4#268#5 mm#55
4#268#52 mm#2
4#268#56 mm#4
4#268#6 mm#26
4#268#60 mm#1
4#268#63 mm#5
4#268#65 mm#4
4#268#69 mm#3
4#268#7 mm#44
4#268#73 mm#3
4#268#77 mm#4
4#268#8 mm#16
4#268#82 mm#3
4#268#86 mm#29
4#268#9 mm#30
4#269##7
4#269#10 mm#84
4#269#11 mm#38
4#269#12 mm#40
4#269#13 mm#44
4#269#14 mm#28
4#269#15 mm#35
4#269#16 mm#34
4#269#17 mm#23
4#269#18 mm#28
4#269#20 mm#20
4#269#21 mm#25
4#269#23 mm#27
4#269#24 mm#23
4#269#26 mm#18
4#269#28 mm#28
4#269#30 mm#24
4#269#32 mm#16
4#269#34 mm#17
4#269#37 mm#14
4#269#4 mm#1501
4#269#40 mm#9
4#269#43 mm#15
4#269#46 mm#15
4#269#49 mm#144
4#269#5 mm#150
4#269#6 mm#97
4#269#7 mm#130
4#269#8 mm#68
4#269#9 mm#64
4#309#0 mm#23
4#309#103 mm#4
