ifd0_make#ifd0_model#ifds_SubjectLocation1#Count
1#1##1425
1#2##2030
1#169##7
1#1339##121
1#1998##16
1#2318##150
2#3##9
3#4##2901
3#4#1171, 1082, 607, 604#1
3#4#1176, 1246, 610, 612#1
3#4#1176, 1287, 610, 612#1
3#4#1176, 1534, 610, 612#1
3#4#1179, 264, 610, 528#1
3#4#1181, 463, 359, 270#3
3#4#1182, 560, 609, 612#1
3#4#1183, 580, 610, 612#1
3#4#1184, 1138, 609, 612#1
3#4#1187, 1068, 894, 895#1
3#4#1189, 893, 610, 612#1
3#4#1195, 1298, 845, 844#1
3#4#1196, 1104, 610, 612#1
3#4#1196, 1471, 610, 612#1
3#4#1199, 783, 610, 612#1
3#4#1202, 1564, 610, 612#1
3#4#1208, 529, 359, 270#1
3#4#1212, 1285, 610, 612#1
3#4#1212, 1540, 610, 609#1
3#4#1212, 1627, 610, 612#2
3#4#1213, 714, 359, 270#1
3#4#1215, 1219, 1791, 1074#1
3#4#1217, 1221, 1795, 1076#1
3#4#1218, 1035, 610, 612#1
3#4#1218, 1052, 610, 612#1
3#4#1218, 1201, 610, 612#1
3#4#1218, 1233, 610, 612#1
3#4#1218, 1263, 610, 612#1
3#4#1218, 1361, 610, 612#1
3#4#1219, 1218, 1789, 1077#4
3#4#1219, 1220, 1730, 1037#1
3#4#1219, 1221, 1637, 984#5
3#4#1220, 1219, 1794, 1074#1
3#4#1220, 1220, 1750, 1047#2
3#4#1220, 1220, 401, 239#3
3#4#1220, 1221, 1456, 873#1
3#4#1220, 1221, 1500, 900#4
3#4#1220, 1224, 1794, 1079#2
3#4#1220, 1225, 1794, 1077#1
3#4#1221, 1220, 1272, 763#1
3#4#1221, 1221, 1459, 876#3
3#4#1221, 1222, 1410, 844#1
3#4#1222, 1160, 610, 612#1
3#4#1222, 1206, 610, 612#1
3#4#1222, 1221, 1505, 900#1
3#4#1222, 1222, 1795, 1074#1
3#4#1222, 1223, 1794, 1077#234
3#4#1222, 1224, 1795, 1077#1
