ifd0_make#ifd0_model#ifd0_Orientation#Count
1#1##1357
1#1#0#31
4#6#1 = Row 0: top, Col 0: left#2111
4#6#3 = Row 0: bottom, Col 0: rig#1
4#6#6 = Row 0: right, Col 0: top#137
4#6#8 = Row 0: left, Col 0: botto#54
4#45##81
4#45#1 = Row 0: top, Col 0: left#2166
4#45#6 = Row 0: right, Col 0: top#82
4#45#8 = Row 0: left, Col 0: botto#24
4#46##2
4#46#1 = Row 0: top, Col 0: left#1741
4#46#6 = Row 0: right, Col 0: top#43
4#46#8 = Row 0: left, Col 0: botto#63
4#64##11
4#64#1 = Row 0: top, Col 0: left#1106
4#64#6 = Row 0: right, Col 0: top#8
4#64#8 = Row 0: left, Col 0: botto#19
4#94##1
4#94#1 = Row 0: top, Col 0: left#720
4#94#6 = Row 0: right, Col 0: top#11
4#94#8 = Row 0: left, Col 0: botto#14
4#103##111
4#103#1 = Row 0: top, Col 0: left#2511
4#103#6 = Row 0: right, Col 0: top#219
4#103#8 = Row 0: left, Col 0: botto#44
4#107#1 = Row 0: top, Col 0: left#63
4#109#1 = Row 0: top, Col 0: left#273
4#109#6 = Row 0: right, Col 0: top#4
4#131##75
4#131#1 = Row 0: top, Col 0: left#1241
4#131#6 = Row 0: right, Col 0: top#98
4#131#8 = Row 0: left, Col 0: botto#16
4#141##15
4#141#1 = Row 0: top, Col 0: left#398
4#141#6 = Row 0: right, Col 0: top#8
4#141#8 = Row 0: left, Col 0: botto#11
4#175##84
4#175#0#2
4#175#1 = Row 0: top, Col 0: left#1576
4#175#6 = Row 0: right, Col 0: top#133
4#175#8 = Row 0: left, Col 0: botto#66
4#187#1 = Row 0: top, Col 0: left#78
4#188##5
4#188#1 = Row 0: top, Col 0: left#232
4#203##4
4#203#0#1
4#203#1 = Row 0: top, Col 0: left#71
4#227##13
4#227#1 = Row 0: top, Col 0: left#997
4#227#6 = Row 0: right, Col 0: top#56
4#227#8 = Row 0: left, Col 0: botto#46
4#253#1 = Row 0: top, Col 0: left#288
4#253#6 = Row 0: right, Col 0: top#16
4#253#8 = Row 0: left, Col 0: botto#2
4#261#1 = Row 0: top, Col 0: left#19
4#266##101
4#266#1 = Row 0: top, Col 0: left#588
4#266#3 = Row 0: bottom, Col 0: rig#1
4#266#6 = Row 0: right, Col 0: top#24
4#266#8 = Row 0: left, Col 0: botto#4
4#267##12
4#267#1 = Row 0: top, Col 0: left#369
4#267#6 = Row 0: right, Col 0: top#37
4#268##3
4#268#0#12
4#268#1 = Row 0: top, Col 0: left#844
4#268#6 = Row 0: right, Col 0: top#156
4#268#8 = Row 0: left, Col 0: botto#1
4#269##31
4#269#1 = Row 0: top, Col 0: left#2526
4#269#3 = Row 0: bottom, Col 0: rig#1
4#269#6 = Row 0: right, Col 0: top#150
4#269#8 = Row 0: left, Col 0: botto#58
4#309##13
4#309#1 = Row 0: top, Col 0: left#3499
4#309#6 = Row 0: right, Col 0: top#243
4#309#8 = Row 0: left, Col 0: botto#284
4#310##96
4#310#1 = Row 0: top, Col 0: left#4225
4#310#6 = Row 0: right, Col 0: top#285
4#310#8 = Row 0: left, Col 0: botto#73
4#327##12
4#327#1 = Row 0: top, Col 0: left#264
4#327#3 = Row 0: bottom, Col 0: rig#1
4#327#6 = Row 0: right, Col 0: top#11
4#328##1
4#328#1 = Row 0: top, Col 0: left#85
4#334#1 = Row 0: top, Col 0: left#599
4#334#6 = Row 0: right, Col 0: top#147
4#334#8 = Row 0: left, Col 0: botto#1
4#376##38
4#376#1 = Row 0: top, Col 0: left#744
4#376#6 = Row 0: right, Col 0: top#81
4#376#8 = Row 0: left, Col 0: botto#8
4#387#1 = Row 0: top, Col 0: left#397
4#387#6 = Row 0: right, Col 0: top#33
4#387#8 = Row 0: left, Col 0: botto#4
4#399#1 = Row 0: top, Col 0: left#2
4#400#1 = Row 0: top, Col 0: left#715
4#400#6 = Row 0: right, Col 0: top#100
4#400#8 = Row 0: left, Col 0: botto#14
4#407#1 = Row 0: top, Col 0: left#140
4#407#6 = Row 0: right, Col 0: top#81
4#407#8 = Row 0: left, Col 0: botto#7
4#428#1 = Row 0: top, Col 0: left#101
4#429##7
4#429#1 = Row 0: top, Col 0: left#1073
4#429#6 = Row 0: right, Col 0: top#59
4#429#8 = Row 0: left, Col 0: botto#10
4#453##13
4#453#1 = Row 0: top, Col 0: left#318
4#453#3 = Row 0: bottom, Col 0: rig#1
4#453#6 = Row 0: right, Col 0: top#28
4#453#8 = Row 0: left, Col 0: botto#10
4#454##26
4#454#0#2
4#454#1 = Row 0: top, Col 0: left#1328
4#454#6 = Row 0: right, Col 0: top#177
4#454#8 = Row 0: left, Col 0: botto#16
4#482##204
4#482#0#1
4#482#1 = Row 0: top, Col 0: left#2849
4#482#3 = Row 0: bottom, Col 0: rig#2
4#482#6 = Row 0: right, Col 0: top#191
4#482#8 = Row 0: left, Col 0: botto#92
4#504#1 = Row 0: top, Col 0: left#197
4#504#6 = Row 0: right, Col 0: top#1
4#506#1 = Row 0: top, Col 0: left#48
4#506#8 = Row 0: left, Col 0: botto#2
4#507#1 = Row 0: top, Col 0: left#85
4#507#6 = Row 0: right, Col 0: top#6
4#507#8 = Row 0: left, Col 0: botto#4
4#508#1 = Row 0: top, Col 0: left#7
4#508#8 = Row 0: left, Col 0: botto#1
4#516##46
4#516#1 = Row 0: top, Col 0: left#2226
4#516#6 = Row 0: right, Col 0: top#18
4#516#8 = Row 0: left, Col 0: botto#54
4#523##1
4#523#1 = Row 0: top, Col 0: left#91
4#523#6 = Row 0: right, Col 0: top#11
4#535#1 = Row 0: top, Col 0: left#163
4#535#6 = Row 0: right, Col 0: top#54
4#535#8 = Row 0: left, Col 0: botto#4
4#536##6
4#536#1 = Row 0: top, Col 0: left#386
4#536#6 = Row 0: right, Col 0: top#11
4#536#8 = Row 0: left, Col 0: botto#2
4#537#1 = Row 0: top, Col 0: left#13
4#537#6 = Row 0: right, Col 0: top#2
4#538#1 = Row 0: top, Col 0: left#328
4#538#6 = Row 0: right, Col 0: top#96
4#538#8 = Row 0: left, Col 0: botto#23
4#539#1 = Row 0: top, Col 0: left#1102
4#539#6 = Row 0: right, Col 0: top#72
4#539#8 = Row 0: left, Col 0: botto#35
4#557#1 = Row 0: top, Col 0: left#541
4#557#6 = Row 0: right, Col 0: top#61
4#557#8 = Row 0: left, Col 0: botto#3
4#558##7
4#558#1 = Row 0: top, Col 0: left#232
4#559##34
4#559#1 = Row 0: top, Col 0: left#361
4#559#6 = Row 0: right, Col 0: top#16
4#560#1 = Row 0: top, Col 0: left#313
4#585##75
4#585#1 = Row 0: top, Col 0: left#1156
4#585#3 = Row 0: bottom, Col 0: rig#2
4#585#6 = Row 0: right, Col 0: top#100
4#585#8 = Row 0: left, Col 0: botto#5
4#592##2
4#592#1 = Row 0: top, Col 0: left#123
4#625##92
4#625#1 = Row 0: top, Col 0: left#2679
4#625#6 = Row 0: right, Col 0: top#52
4#625#8 = Row 0: left, Col 0: botto#144
4#631##3
4#631#1 = Row 0: top, Col 0: left#692
4#631#6 = Row 0: right, Col 0: top#91
4#631#8 = Row 0: left, Col 0: botto#11
4#632#1 = Row 0: top, Col 0: left#29
4#636##152
4#636#1 = Row 0: top, Col 0: left#77
4#639##2
4#639#1 = Row 0: top, Col 0: left#262
4#639#6 = Row 0: right, Col 0: top#120
4#639#8 = Row 0: left, Col 0: botto#1
4#647#1 = Row 0: top, Col 0: left#25
4#647#6 = Row 0: right, Col 0: top#6
4#681##48
4#681#1 = Row 0: top, Col 0: left#753
4#681#6 = Row 0: right, Col 0: top#15
4#681#8 = Row 0: left, Col 0: botto#39
4#692##52
4#692#1 = Row 0: top, Col 0: left#842
4#692#6 = Row 0: right, Col 0: top#42
4#692#8 = Row 0: left, Col 0: botto#4
4#693##7
4#693#1 = Row 0: top, Col 0: left#105
4#693#6 = Row 0: right, Col 0: top#2
4#693#8 = Row 0: left, Col 0: botto#1
4#705##63
4#705#1 = Row 0: top, Col 0: left#1094
4#705#3 = Row 0: bottom, Col 0: rig#1
4#705#6 = Row 0: right, Col 0: top#98
4#705#8 = Row 0: left, Col 0: botto#1
4#707#1 = Row 0: top, Col 0: left#358
4#707#6 = Row 0: right, Col 0: top#4
4#707#8 = Row 0: left, Col 0: botto#6
4#726##6
4#726#1 = Row 0: top, Col 0: left#1312
4#726#6 = Row 0: right, Col 0: top#46
4#726#8 = Row 0: left, Col 0: botto#13
4#774##15
4#774#1 = Row 0: top, Col 0: left#230
4#774#6 = Row 0: right, Col 0: top#9
4#774#8 = Row 0: left, Col 0: botto#2
4#780##15
4#780#1 = Row 0: top, Col 0: left#1411
4#780#6 = Row 0: right, Col 0: top#119
4#780#8 = Row 0: left, Col 0: botto#13
4#830##8
4#830#1 = Row 0: top, Col 0: left#48
4#865##17
4#865#1 = Row 0: top, Col 0: left#1560
4#865#6 = Row 0: right, Col 0: top#95
4#865#8 = Row 0: left, Col 0: botto#44
4#868#1 = Row 0: top, Col 0: left#83
4#868#6 = Row 0: right, Col 0: top#1
4#868#8 = Row 0: left, Col 0: botto#1
4#884##137
4#884#1 = Row 0: top, Col 0: left#395
4#884#6 = Row 0: right, Col 0: top#4
4#884#8 = Row 0: left, Col 0: botto#2
4#899##17
4#899#1 = Row 0: top, Col 0: left#335
4#899#6 = Row 0: right, Col 0: top#11
4#899#8 = Row 0: left, Col 0: botto#64
4#901##1
4#901#0#19
4#901#1 = Row 0: top, Col 0: left#721
4#901#6 = Row 0: right, Col 0: top#29
4#901#8 = Row 0: left, Col 0: botto#16
4#907##22
4#907#1 = Row 0: top, Col 0: left#558
4#907#6 = Row 0: right, Col 0: top#26
4#907#8 = Row 0: left, Col 0: botto#1
4#912##20
4#912#1 = Row 0: top, Col 0: left#153
4#912#6 = Row 0: right, Col 0: top#26
4#912#8 = Row 0: left, Col 0: botto#12
4#917#1 = Row 0: top, Col 0: left#7
4#921##1
4#921#1 = Row 0: top, Col 0: left#110
4#921#3 = Row 0: bottom, Col 0: rig#44
4#921#6 = Row 0: right, Col 0: top#123
4#921#8 = Row 0: left, Col 0: botto#9
4#936#1 = Row 0: top, Col 0: left#74
4#971##6
4#971#1 = Row 0: top, Col 0: left#823
4#971#6 = Row 0: right, Col 0: top#24
4#971#8 = Row 0: left, Col 0: botto#18
4#984##31
4#984#1 = Row 0: top, Col 0: left#906
4#985#1 = Row 0: top, Col 0: left#74
