ifds_FocalPlaneXResolution ,Count
3717120/169, 1
3732480/169, 2
3732480/213, 1
3742/1, 228
3744000/958, 44
3745/1, 7
3767/1, 3
3780/1, 13
3780095/156, 1
3781176/210, 1
3824/1, 1
3827/1, 654
3840000/225, 2
3840000/241, 251
3840000/243, 1
3840000/244, 72
3840000/284, 7
384921179/100000, 1
3850666/181, 1
3850666/215, 3
3871/1, 1
3872000/225, 24
3884/1, 443
3888000/1107, 340
3888000/212, 1
3888000/225, 9
3888000/284, 12
3888000/876, 14202
3888000/877, 14497
3901500/169, 12
3901500/214, 2
3916/1, 1
3932/1, 78
3932160/225, 4
3932160/284, 12
3936/1, 3
3936600/212, 2
3937599/208, 4
3938461/208, 1
3948/1, 13
3963259/241, 17
3963259/287, 1
3963259/292, 5
3998320/3998320, 1
3998720/225, 5
4000/1, 606
4000000/173, 9
4000000/206, 37
4000000/243, 3630
4000000/244, 8006
4000000/291, 3794
4000000/293, 30
4009/1, 2
403098/100, 140
4032/1, 132
4032799/210, 1
4032799/224, 10
4032799/280, 33
4032800/224, 9
4033/1, 280
4047/1, 17
4047000/241, 4
4047000/287, 1
4049599/283, 1
4050000/225, 3
4051/1, 112
4058/1, 1
4064/1, 12
4064000/1408, 505
407286/103, 8
4080000/1419, 10
4080000/1459, 1000
4092/1, 2
40960/3, 107
4096000/175, 5
4096000/179, 2
4096000/207, 1
4096000/208, 17
4107/1, 1
4109375/347, 2
4110222/225, 70
4110222/286, 8
4122947/242, 1
4131000/225, 11
4131000/286, 2
4147200/225, 2
4147200/283, 3
4177/1, 6
4177920/225, 4
4189/1, 5
4199040/194, 1
4199040/225, 20
4199040/283, 26
4211/1, 1
4229/1, 6
4236/1, 365
4240/1, 3
4255/1, 1464
4259999/168, 1
4259999/210, 3
4264/1, 1
4272000/878, 11205
4272000/905, 298
4318/1, 1
4320000/1290, 2
4320000/243, 727
4345679/244, 1
4345679/293, 1
4348/1, 37
43520/3, 4
4352000/737, 3
4355/1, 623
4368000/1415, 1716
4369230/280, 1
4369231/224, 3
4369599/224, 2
4369599/280, 5
4399/1, 1
4400000/225, 1
4412/1, 4
4416000/292, 2564
4418/1, 288
4423680/169, 2
4432/1, 2
443835616/100000, 7
4442/1, 1537
4444/1, 1
4455/1, 2
4472832/1481, 1
447392416/32768, 2
4482/1, 418
4503/1, 7
4545/1, 535
4554/1, 605
4560000/241, 1
4560000/287, 1
4560000/292, 1
4571/1, 1
4572/1, 63
4587/1, 1
4608000/224, 3
4608000/225, 67
4608000/242, 963
4608000/243, 1
4608000/284, 17
4608000/894, 5
4629629/183, 2
4630/1, 2
4634879/347, 4
4639/1, 2
4653623/210, 1
4665600/213, 1
4678/1, 3
4688/1, 55
4698/1, 3
4744/1, 1
4750/1, 19
4752000/894, 15147
4777/1, 1
480000/131, 4
480000/135, 1
480000/141, 2
480000/145, 3
480000/155, 9
480000/156, 39
480000/158, 4
480000/168, 21
480000/169, 36
480000/181, 7
480000/182, 2
480000/183, 1
480000/210, 9
480000/212, 4
480000/213, 3
480000/214, 11
480000/215, 1
480000/219, 1
480000/61, 2
4800000/169, 1
4800000/225, 4
4800000/244, 2
4800000/284, 10
4811/1, 4
4850088/293, 1
4853/1, 72
4873500/181, 5
4873500/215, 4
4878/1, 4
4882/1, 1
4896000/1290, 223
4901961/243, 3
4901961/244, 25
4901961/291, 5
4915200/156, 7
4915200/225, 1
4915200/284, 4
4920750/212, 1
4926/1, 67
4953/1, 1
4956160/225, 38
4958/1, 1
4976639/284, 1
4976640/225, 5
4976640/284, 12
