ifdg_GPSLatitude ,Count
1 deg 16 59.156, 6
1 deg 16 59.272, 2
1 deg 16 59.300, 1
1 deg 16 59.360, 1
1 deg 16 59.400, 3
1 deg 16 59.402, 2
1 deg 16 59.550, 1
1 deg 16 59.770, 1
1 deg 16 59.896, 5
1 deg 17 0.000, 1
1 deg 17 0.011, 1
1 deg 17 0.070, 1
1 deg 17 0.260, 1
1 deg 17 0.387, 1
1 deg 17 0.450, 1
1 deg 17 0.580, 1
1 deg 17 0.600, 2
1 deg 17 0.790, 1
1 deg 17 0.860, 1
1 deg 17 1.090, 1
1 deg 17 1.200, 5
1 deg 17 1.430, 1
1 deg 17 1.490, 1
1 deg 17 1.520, 2
1 deg 17 1.687, 1
1 deg 17 1.800, 5
1 deg 17 1.809, 3
1 deg 17 1.820, 1
1 deg 17 1.860, 2
1 deg 17 1.870, 1
1 deg 17 10.019, 1
1 deg 17 10.170, 1
1 deg 17 10.200, 5
1 deg 17 10.320, 1
1 deg 17 10.370, 1
1 deg 17 10.520, 1
1 deg 17 10.560, 1
1 deg 17 10.700, 1
1 deg 17 10.800, 5
1 deg 17 10.990, 1
1 deg 17 11.120, 1
1 deg 17 11.190, 1
1 deg 17 11.400, 2
1 deg 17 11.460, 1
1 deg 17 11.471, 1
1 deg 17 11.510, 1
1 deg 17 11.610, 1
1 deg 17 11.940, 1
1 deg 17 12.000, 3
1 deg 17 12.050, 1
1 deg 17 12.110, 2
1 deg 17 12.130, 1
1 deg 17 12.220, 1
1 deg 17 12.341, 1
1 deg 17 12.600, 2
1 deg 17 12.899, 1
1 deg 17 12.945, 1
1 deg 17 13.068, 1
1 deg 17 13.200, 2
1 deg 17 13.529, 1
1 deg 17 13.640, 1
1 deg 17 14.330, 1
1 deg 17 14.580, 1
1 deg 17 14.700, 1
1 deg 17 14.800, 1
1 deg 17 14.840, 1
1 deg 17 14.960, 1
1 deg 17 15.600, 1
1 deg 17 15.704, 2
1 deg 17 16.300, 1
1 deg 17 16.800, 2
1 deg 17 17.400, 1
1 deg 17 17.420, 1
1 deg 17 17.590, 1
1 deg 17 17.740, 1
1 deg 17 17.890, 1
1 deg 17 18.000, 3
1 deg 17 18.370, 1
1 deg 17 18.440, 1
1 deg 17 18.600, 4
1 deg 17 19.010, 1
1 deg 17 19.080, 1
1 deg 17 19.150, 1
1 deg 17 19.200, 15
1 deg 17 19.300, 1
1 deg 17 19.330, 1
1 deg 17 19.350, 1
1 deg 17 19.390, 1
1 deg 17 19.640, 1
1 deg 17 19.669, 1
1 deg 17 19.730, 2
1 deg 17 19.800, 16
1 deg 17 19.895, 1
1 deg 17 19.907, 4
1 deg 17 19.920, 1
1 deg 17 2.400, 1
1 deg 17 2.470, 8
1 deg 17 2.480, 2
1 deg 17 2.550, 2
1 deg 17 2.999, 3
1 deg 17 20.040, 1
1 deg 17 20.210, 1
1 deg 17 20.230, 1
1 deg 17 20.290, 1
1 deg 17 20.310, 1
1 deg 17 20.400, 8
1 deg 17 20.550, 1
1 deg 17 20.870, 1
1 deg 17 20.925, 2
1 deg 17 20.960, 1
1 deg 17 20.970, 1
1 deg 17 21.000, 6
1 deg 17 21.290, 1
1 deg 17 21.340, 1
1 deg 17 21.430, 1
1 deg 17 21.600, 3
1 deg 17 21.601, 7
1 deg 17 21.900, 1
1 deg 17 21.983, 5
1 deg 17 22.140, 1
1 deg 17 22.200, 11
1 deg 17 22.379, 1
1 deg 17 22.400, 1
1 deg 17 22.590, 1
1 deg 17 22.670, 1
1 deg 17 22.691, 1
1 deg 17 22.720, 1
1 deg 17 22.770, 1
1 deg 17 22.800, 5
1 deg 17 22.830, 1
1 deg 17 22.860, 1
1 deg 17 22.910, 1
1 deg 17 23.000, 1
1 deg 17 23.108, 2
1 deg 17 23.220, 1
1 deg 17 23.250, 1
1 deg 17 23.400, 10
1 deg 17 23.643, 1
1 deg 17 23.803, 3
1 deg 17 23.820, 1
1 deg 17 23.862, 1
1 deg 17 23.943, 1
1 deg 17 24.000, 6
1 deg 17 24.072, 1
1 deg 17 24.300, 1
1 deg 17 24.600, 5
1 deg 17 24.780, 1
1 deg 17 25.200, 2
1 deg 17 25.715, 1
1 deg 17 25.800, 3
1 deg 17 25.805, 1
1 deg 17 25.891, 1
1 deg 17 25.980, 1
1 deg 17 26.003, 1
1 deg 17 26.321, 2
1 deg 17 26.400, 1
1 deg 17 26.471, 1
1 deg 17 26.500, 1
1 deg 17 26.507, 10
1 deg 17 26.514, 1
1 deg 17 26.705, 2
1 deg 17 26.759, 1
1 deg 17 26.867, 1
1 deg 17 27.059, 4
1 deg 17 27.600, 1
1 deg 17 27.720, 1
1 deg 17 27.760, 1
1 deg 17 27.970, 1
1 deg 17 28.280, 1
1 deg 17 28.800, 1
1 deg 17 29.990, 1
1 deg 17 3.000, 1
1 deg 17 3.070, 1
1 deg 17 3.134, 2
1 deg 17 3.319, 2
1 deg 17 3.482, 2
