ifds_MakerNote ,Count
@ 0x1C20, 1
@ 0x1C44, 1
@ 0x1CA2, 1
@ 0x1CA3, 1
@ 0x1D20, 1
@ 0x1D48, 41
@ 0x1D5C, 1
@ 0x1D75, 1
@ 0x1D82, 1
@ 0x1DCE, 1
@ 0x1DFE, 1
@ 0x1EAA, 1
@ 0x1F2E, 1
@ 0x1F4A, 1
@ 0x1F4C, 1
@ 0x1FC0, 1
@ 0x2002, 1
@ 0x2010000, 1
@ 0x2022, 1
@ 0x2050000, 2
@ 0x2052, 1
@ 0x2154, 1
@ 0x2160, 1
@ 0x224E, 38
@ 0x225C, 1
@ 0x226C, 77
@ 0x226E, 6
@ 0x22C8, 1
@ 0x22DE, 1
@ 0x238E, 1
@ 0x243E, 1
@ 0x24BE, 1
@ 0x2511, 1
@ 0x258A, 1
@ 0x2600, 1
@ 0x262D2825, 1
@ 0x265E, 1
@ 0x2693, 1
@ 0x26B4, 1
@ 0x2848, 1339
@ 0x2854, 255
@ 0x28C6, 1
@ 0x2A1C, 1
@ 0x2A2A, 1
@ 0x2B08, 1
@ 0x2B725FC1, 1
@ 0x2D61, 1
@ 0x2EBC, 1
@ 0x2FCE, 125
@ 0x2FDA, 154
@ 0x3056800, 1
@ 0x38A4598, 1
@ 0x3A8A, 247
@ 0x3A8D50DF, 1
@ 0x3F7ED50, 1
@ 0x431A, 2
@ 0x4342, 150
@ 0x4356, 55
@ 0x4362, 170
