ifds_FocalPlaneYResolution ,Count
6172839/244, 2
6176/1, 1
6196500/169, 6
6196500/214, 1
6204831/280, 1
6215/1, 1
6220/1, 61
6220800/284, 1
6238080/170, 11
6238080/181, 62
6238080/215, 9
6238080/219, 28
6242400/169, 30
6242400/214, 6
6267/1, 3
6274722/213, 1
630/1, 86
6312/1, 2
635/1, 114
6361/1, 9
640000/175, 4
640000/179, 1
640000/188, 2
640000/194, 3
640000/206, 9
640000/207, 1
640000/208, 38
640000/210, 4
640000/224, 10
640000/225, 46
640000/241, 7
640000/243, 2
640000/244, 1
640000/280, 9
640000/283, 4
640000/284, 3
640000/286, 11
640000/287, 1
640000/292, 1
640000/81, 2
6400000/225, 1
6423/1, 2
6451/1, 46
6452/1, 9
648000/85, 1
6494/1, 1138
6498000/241, 5
6498000/287, 4
6553600/207, 1
6553600/208, 6
6561000/283, 1
660000/169, 1
665105/44, 3
6652/1, 2998
6658560/225, 11
6658560/286, 1
6663/1, 1
6666/1, 1
6666666/220, 1
6706800/219, 4
675555/181, 3
675555/219, 2
679196/100, 2
681599/210, 1
681600/141, 1
6816000/169, 3
6816000/181, 22
6816000/215, 4
6816000/219, 5
681657/50, 5
681863/61, 1
6821052/181, 1
6821052/183, 1
6834375/182, 2
684000/89, 1
684866/173, 8
6893/1, 1
691200/119, 8
6912000/168, 3
6912000/169, 20
6912000/213, 5
6942/1, 73
6975676/6975680, 28
6992/1, 1704
6998400/171, 2
7009352/182, 4
7091/1, 127
7100800/224, 1
7109/1, 8
7110/1, 2
7141500/219, 18
7148308/169, 6
7153/1, 2
7166/1, 567
720/2183, 1
720000/168, 3
720247/162, 9
7235/1, 2
7329/1, 5
734363/33, 1
7366071/220, 1
7372800/224, 1
7372800/225, 1
740740/183, 1
7416/1, 1
7443/1, 65
7463/1, 273
7491/1, 164
7498/1, 7
7500000/182, 5
7500000/183, 27
7500000/219, 7
7520/1, 1
7523555/292, 1
7524000/181, 3
7524000/219, 1
7537/1, 1
7562352/168, 2
7567/1, 1
760984/100, 1
764402/1, 1
7646/1, 1
765000/169, 1
7650000/219, 1
7672/1, 1
7674/1, 2
768000/130, 15
768000/131, 28
768000/132, 6
768000/135, 8
768000/141, 16
768000/155, 515
768000/156, 604
768000/158, 114
768000/168, 116
768000/199, 23
768000/209, 49
768000/210, 518
768000/212, 76
768000/260, 2
768000/61, 12
768000/72, 3
7692/1, 1
7750/1, 1
7776/1, 1
777600/145, 1
7776000/168, 17
7776000/169, 20
7776000/182, 6
7776000/183, 6
7776000/213, 13
7776000/214, 6
7776000/219, 10
778365/1, 1
7797600/170, 1
7797600/181, 41
7797600/215, 6
7797600/219, 13
7802/1, 1
7803000/169, 24
7803000/214, 3
7812500/291, 1
7864/1, 1
7873200/212, 14
7882/1, 1
793138/449, 1
7934/1, 1
7941445/213, 2
79621224/10000, 1
7985/1, 2
8011/1, 1
8063/1, 2
8065599/280, 2
8065600/224, 1
81000/7, 5
8105/1, 1
811428571/100000, 4
8169/1, 2
818926/23, 2
8192000/208, 1
8192000/225, 1
82017776/3998072, 1
82030600/3998072, 4
82042888/3998072, 3
82055176/3998072, 4
822/1, 8
8317440/287, 2
832/1, 14
8323200/225, 1
833/1, 2
835/1, 11
8366/1, 1
837/1, 2
8405/1, 3
844800/169, 1
8448000/169, 14
8448000/181, 5
