ifdg_GPSImgDirection ,Count
10519/2632, 1
10519/48, 1
105193/326, 1
105193/348, 1
1052/14865, 1
10520/733, 1
10521/118, 1
105212/357, 1
10522/767, 1
105227/585, 1
10523/193, 1
105240/301, 1
10525/100, 12
105257/365, 1
10526/1507, 1
105267/617, 1
105268/397, 1
10527/1895, 1
10528/687, 1
105287/339, 1
10529/463, 1
105290/857, 1
1053/2474, 1
1053/4, 1
105301/468, 1
105305/341, 1
105309/467, 1
105319/5037, 1
1053570/5041, 1
105361/2358, 1
105363/418, 1
105380/301, 1
105386/315, 1
10539/134, 1
10540/37, 1
10540/891, 1
105401/341, 1
10541/100, 1
10541/500, 1
105414/449, 1
10543/100, 1
10543/428, 1
105434/389, 1
105434/773, 1
105436/577, 1
105437/298, 1
10544/49, 1
105446/1369, 1
105449/356, 1
10545/341, 1
10545/559, 1
10546/299, 1
10547/37, 1
105475/306, 1
105484/557, 1
105485/312, 1
105485/318, 1
10549/191, 1
10550/100, 8
10550/41, 1
105507/296, 1
105513/4096, 1
10552/113, 1
10552/447, 1
105527/729, 1
10553/100, 1
105542/2037, 1
105545/2472, 1
105551/313, 1
105561/484, 1
105572/357, 1
105573/443, 1
105575/311, 1
105581/416, 1
10559/130, 1
10559/373, 1
105590/739, 1
105609/1759, 1
10561/33, 1
105617/319, 1
10562/77, 1
105623/659, 1
105628/313, 1
10563/100, 1
10563/344, 1
105637/412, 1
10564/100, 1
105644/447, 1
105649/671, 1
10565/100, 1
105651/415, 1
105653/388, 1
10567/118, 1
10567/120, 1
105671/335, 1
105675/398, 1
105683/372, 1
105683/437, 2
105689/319, 1
10569/257, 1
105695/294, 1
105696/371, 2
1057/1024, 1
1057/1753, 1
1057/22, 1
1057/4, 1
10570/113, 1
10570/129, 1
10570/67, 1
105702/317, 1
10571/57, 1
10573/77, 1
105734/311, 1
10574/100, 1
10574/57, 1
105745/299, 1
105745/339, 1
105745/791, 1
105747/328, 1
10575/100, 7
105755/537, 1
105767/335, 1
10577/1347, 1
105773/804, 1
105782/327, 1
10579/715, 1
105803/521, 1
105809/388, 1
10581/262, 1
10581/32, 1
105811/535, 1
105812/1581, 1
105816/455, 1
105829/308, 1
105849/559, 1
10585/49, 1
10586/225, 1
105871/549, 1
105878/565, 1
10588/100, 1
10591/47, 2
105910/311, 1
1059188/8733, 1
105927/385, 1
105932/449, 1
105936/371, 1
10594/215, 1
105940/431, 1
105941/368, 1
105949/315, 1
105949/536, 1
10595/306, 1
105951/793, 6
105961/484, 2
105965/409, 1
10597/128, 1
10597/96, 1
105976/327, 1
105976/573, 1
105985/736, 1
10599/100, 1
10599/4492, 1
106/1, 16
10600/100, 23
10601/100, 1
10601/41, 1
106013/1125, 1
106023/578, 1
106027/301, 1
10603/45, 1
106039/321, 1
