marker_order ,Count
1:2:14:8:3:3:4:9:5:5:5:5:6:7, 1
1:2:15:15:15:15:3:4:5:6:7, 119
1:2:15:15:15:3:4:5:6, 2
1:2:15:15:15:3:4:5:6:7, 742
1:2:15:15:15:3:4:5:9:6:7, 20
1:2:15:15:3:4:5:6:7, 122
1:2:15:15:3:4:5:9:6:7, 30
1:2:15:3:5:4:6:7, 4
1:2:16:3:5:4:6:7, 17
1:2:16:3:9:4:5:6:7, 4
1:2:18:12:12:12:3:4:5:6:7, 1
1:2:18:13:14:3:3:4:5:5:5:5:6:7, 1
1:2:18:13:14:3:5:4:6:7, 17
1:2:18:13:3:3:4:5:5:5:5:6:7, 2
1:2:18:13:3:5:4:6:7, 9
1:2:18:18:18:18:18:18:18:18:18:18:18:18:18:3:9:4:5:6:7, 2
1:2:18:18:18:18:18:18:18:18:18:18:18:3:9:4:5:6:7, 1
1:2:18:18:3:3:4:5:5:5:5:6:7, 2
1:2:18:18:3:5:4:6:7, 1
1:2:18:3:3:3:4:5:5:5:5:6:7, 20
1:2:18:3:3:4:5:5:5:5:6:7, 113
1:2:18:3:4:5:6:7, 606
1:2:18:3:4:9:5:6:7, 6
1:2:18:3:5:4:18:6:7, 3
1:2:18:3:5:4:6:7, 323
1:2:18:3:9:4:5:6:7, 1
1:2:19:3:4:5:6:7, 1
1:2:21:21:21:21:3:3:4:9:5:5:5:5:6:7, 148
1:2:21:21:21:3:3:4:5:5:5:5:6:7, 3
1:2:2:11:3:3:4:5:5:5:5:6:7, 3
1:2:2:12:3:3:4:5:5:5:5:6:7, 34
1:2:2:13:13:3:5:4:6:7, 1
1:2:2:2:12:3:3:4:5:5:5:5:6:7, 2
1:2:2:2:2:12:3:3:4:5:5:5:5:6:7, 4
1:2:2:2:2:2:12:3:3:4:5:5:5:5:6:7, 1
1:2:2:2:2:2:2:12:3:3:4:5:5:5:5:6:7, 1
1:2:2:2:2:2:2:2:2:2:2:2:2:12:3:3:4:5:5:5:5:6:7, 1
1:2:2:2:2:3:3:4:5:5:5:5:6:7, 1
1:2:2:2:3:3:4:5:5:5:5:6:7, 3
1:2:2:3:3:3:4:5:5:5:5:6:7, 8
1:2:2:3:3:4:5:5:5:5:6, 1
1:2:2:3:3:4:5:5:5:5:6:7, 266
1:2:2:3:4:5:6:7, 3
1:2:2:3:5:4:6:7, 86
1:2:3:10:4:5:10:6:7, 4
1:2:3:11:3:4:5:5:5:5:6:7, 44
1:2:3:11:4:5:6:7, 134
1:2:3:11:4:9:5:6:7, 130
1:2:3:11:5:4:6:7, 1051
1:2:3:3:11:4:5:5:5:5:9:6:7, 8
1:2:3:3:11:5:4:6:7, 10
1:2:3:3:11:5:5:5:5:4:6:7, 1
1:2:3:3:3:4:5:5:5:5:6:7, 1630
1:2:3:3:4:5:5:5:5:6, 39
1:2:3:3:4:5:5:5:5:6:1:2, 1
1:2:3:3:4:5:5:5:5:6:6, 8
1:2:3:3:4:5:5:5:5:6:7, 81745
1:2:3:3:4:5:5:5:5:9:6, 1
1:2:3:3:4:5:5:5:5:9:6:7, 2156
1:2:3:3:4:5:5:6:7, 18
1:2:3:3:4:5:6:7, 1
1:2:3:3:4:9:5:5:5:5:6:7, 532
1:2:3:3:5:4:6, 1
1:2:3:3:5:4:6:7, 7032
1:2:3:3:5:5:5:5:4:6:7, 308
1:2:3:3:5:5:5:5:4:9:6:7, 1
1:2:3:3:5:5:5:5:9:4:6:7, 40
1:2:3:4:11:5:6:7, 62
1:2:3:4:5:10:10:6:7, 366
1:2:3:4:5:10:6, 1
1:2:3:4:5:10:6:7, 4349
1:2:3:4:5:11:6:7, 158
1:2:3:4:5:5:5:5:11:8:6:7, 1
1:2:3:4:5:5:5:5:11:8:9:6:11:7, 20
1:2:3:4:5:5:5:5:6:7, 48
1:2:3:4:5:5:5:5:9:6:7, 1
1:2:3:4:5:5:6:7, 5
1:2:3:4:5:6, 207
1:2:3:4:5:6:16, 1
1:2:3:4:5:6:1:2, 1
1:2:3:4:5:6:6, 24
1:2:3:4:5:6:7, 444583
1:2:3:4:5:9:10:6:7, 107
1:2:3:4:5:9:6, 30
1:2:3:4:5:9:6:6, 2
1:2:3:4:5:9:6:7, 83102
1:2:3:4:9:5:6, 6
1:2:3:4:9:5:6:7, 5879
1:2:3:5:4:11:6:7, 7
1:2:3:5:4:18:6:7, 206
