ifdg_GPSLongitude ,Count
0 deg 12 39.220, 1
0 deg 12 4.770, 1
0 deg 12 4.893, 1
0 deg 12 40.200, 3
0 deg 12 41.400, 1
0 deg 12 42.000, 1
0 deg 12 42.600, 1
0 deg 12 43.800, 2
0 deg 12 44.400, 1
0 deg 12 45.000, 4
0 deg 12 46.200, 1
0 deg 12 47.610, 1
0 deg 12 48.000, 2
0 deg 12 49.200, 3
0 deg 12 5.152, 1
0 deg 12 5.888, 1
0 deg 12 50.400, 4
0 deg 12 51.000, 3
0 deg 12 51.600, 5
0 deg 12 52.200, 1
0 deg 12 52.390, 1
0 deg 12 52.930, 2
0 deg 12 53.000, 2
0 deg 12 53.400, 1
0 deg 12 54.000, 4
0 deg 12 54.600, 2
0 deg 12 55.000, 4
0 deg 12 55.200, 1
0 deg 12 56.000, 1
0 deg 12 58.800, 2
0 deg 12 59.400, 1
0 deg 12 6.600, 1
0 deg 12 60.000, 6
0 deg 12 8.916, 1
0 deg 13 10.000, 2
0 deg 13 10.200, 5
0 deg 13 11.000, 1
0 deg 13 12.000, 5
0 deg 13 12.600, 3
0 deg 13 13.000, 4
0 deg 13 13.600, 2
0 deg 13 14.400, 1
0 deg 13 16.200, 1
0 deg 13 16.480, 1
0 deg 13 16.519, 2
0 deg 13 16.800, 2
0 deg 13 19.000, 16
0 deg 13 20.000, 2
0 deg 13 22.200, 1
0 deg 13 22.548, 1
0 deg 13 23.760, 1
0 deg 13 27.000, 2
0 deg 13 27.010, 4
0 deg 13 27.180, 1
0 deg 13 27.255, 1
0 deg 13 27.290, 2
0 deg 13 27.372, 1
0 deg 13 27.381, 1
0 deg 13 27.948, 1
0 deg 13 28.351, 1
0 deg 13 28.363, 1
0 deg 13 28.603, 1
0 deg 13 28.800, 2
0 deg 13 29.000, 1
0 deg 13 30.000, 2
0 deg 13 30.600, 1
0 deg 13 31.000, 2
0 deg 13 34.550, 1
0 deg 13 35.340, 1
0 deg 13 36.550, 1
0 deg 13 36.980, 1
0 deg 13 39.000, 1
0 deg 13 4.182, 2
0 deg 13 4.200, 1
0 deg 13 42.000, 1
0 deg 13 42.024, 1
0 deg 13 44.568, 1
0 deg 13 45.000, 1
0 deg 13 45.228, 1
0 deg 13 45.600, 1
0 deg 13 47.400, 1
0 deg 13 47.934, 1
0 deg 13 48.000, 1
0 deg 13 48.006, 1
0 deg 13 49.200, 1
0 deg 13 5.000, 1
0 deg 13 5.400, 2
0 deg 13 5.742, 1
0 deg 13 5.784, 1
0 deg 13 5.820, 1
0 deg 13 5.862, 1
0 deg 13 51.210, 1
0 deg 13 51.600, 3
0 deg 13 52.280, 1
0 deg 13 52.550, 2
0 deg 13 54.450, 1
0 deg 13 54.600, 1
0 deg 13 55.200, 1
0 deg 13 56.400, 1
0 deg 13 58.200, 1
0 deg 13 58.572, 1
0 deg 13 58.800, 3
0 deg 13 6.000, 1
0 deg 13 6.600, 1
0 deg 13 7.000, 3
0 deg 13 8.000, 1
0 deg 13 9.000, 3
0 deg 13 9.100, 1
0 deg 13 9.600, 3
0 deg 14 0.000, 2
0 deg 14 0.396, 1
0 deg 14 0.600, 1
0 deg 14 1.200, 1
0 deg 14 10.200, 2
0 deg 14 12.218, 1
0 deg 14 15.000, 1
0 deg 14 16.200, 2
0 deg 14 16.800, 1
