ifdg_GPSDateStamp ,Count
2010:07:13, 12
2010:07:14, 19
2010:07:15, 18
2010:07:16, 3
2010:07:17, 5
2010:07:18, 13
2010:07:19, 24
2010:07:20, 19
2010:07:21, 12
2010:07:22, 3
2010:07:23, 21
2010:07:24, 6
2010:07:25, 7
2010:07:26, 2
2010:07:27, 5
2010:07:28, 1
2010:07:29, 2
2010:07:30, 4
2010:07:31, 10
2010:08:01, 7
2010:08:03, 6
2010:08:04, 5
2010:08:05, 2
2010:08:06, 1
2010:08:07, 19
2010:08:08, 33
2010:08:09, 56
2010:08:10, 54
2010:08:11, 46
2010:08:12, 5
2010:08:13, 8
2010:08:14, 10
2010:08:15, 4
2010:08:16, 8
2010:08:17, 6
2010:08:18, 1
2010:08:19, 1
2010:08:20, 8
2010:08:21, 3
2010:08:22, 7
2010:08:23, 8
2010:08:24, 17
2010:08:25, 3
2010:08:26, 74
2010:08:27, 27
2010:08:28, 24
2010:08:29, 28
2010:08:30, 35
2010:08:31, 17
2010:09:01, 1
2010:09:02, 16
2010:09:03, 30
2010:09:04, 21
2010:09:05, 17
2010:09:06, 4
2010:09:07, 1
2010:09:08, 3
2010:09:09, 2
2010:09:10, 6
2010:09:11, 21
2010:09:12, 20
2010:09:13, 4
2010:09:14, 12
2010:09:15, 50
2010:09:16, 2
2010:09:17, 10
2010:09:18, 7
2010:09:19, 2
2010:09:20, 3
2010:09:21, 4
2010:09:24, 25
2010:09:25, 17
2010:09:26, 5
2010:09:27, 1
2010:09:28, 2
2010:09:29, 6
2010:09:30, 17
2010:10:01, 5
2010:10:02, 22
2010:10:03, 15
2010:10:04, 8
2010:10:05, 4
2010:10:06, 5
2010:10:07, 2
2010:10:08, 9
2010:10:09, 58
2010:10:10, 10
2010:10:11, 5
2010:10:12, 11
2010:10:13, 24
2010:10:14, 17
2010:10:15, 25
2010:10:16, 9
2010:10:17, 9
2010:10:18, 3
2010:10:21, 3
2010:10:22, 8
2010:10:23, 2
2010:10:24, 2
2010:10:25, 5
2010:10:26, 25
2010:10:27, 4
2010:10:28, 5
2010:10:29, 6
2010:10:30, 63
2010:10:31, 21
2010:11:01, 27
2010:11:02, 16
2010:11:03, 1
2010:11:04, 4
2010:11:05, 3
2010:11:06, 7
2010:11:07, 10
2010:11:08, 17
2010:11:09, 32
2010:11:10, 8
2010:11:11, 13
2010:11:12, 82
2010:11:13, 6
2010:11:14, 11
2010:11:15, 5
2010:11:16, 3
2010:11:17, 4
2010:11:18, 6
2010:11:19, 1
2010:11:20, 19
2010:11:21, 115
2010:11:22, 60
2010:11:23, 10
2010:11:24, 7
2010:11:25, 18
2010:11:26, 7
2010:11:27, 39
2010:11:28, 15
2010:11:29, 11
2010:11:30, 8
2010:12:01, 21
2010:12:02, 3
2010:12:03, 8
2010:12:04, 14
2010:12:05, 14
2010:12:06, 8
2010:12:07, 5
2010:12:08, 2
2010:12:09, 31
2010:12:10, 5
2010:12:11, 15
2010:12:12, 8
2010:12:13, 2
2010:12:14, 1
2010:12:15, 2
2010:12:16, 10
2010:12:17, 21
2010:12:18, 32
2010:12:19, 11
2010:12:20, 23
2010:12:21, 25
2010:12:22, 45
2010:12:23, 23
2010:12:24, 15
2010:12:25, 20
2010:12:26, 11
2010:12:27, 57
2010:12:28, 12
2010:12:29, 15
2010:12:30, 14
2010:12:31, 24
2011-03-07, 3
2011-03-08, 1
2011-03-22, 1
2011-04-22, 1
2011-04-23, 1
2011-12-25, 1
2011:01:01, 5
2011:01:01 0, 1
2011:01:02, 3
2011:01:03, 12
2011:01:04, 13
2011:01:05, 10
2011:01:06, 9
2011:01:07, 6
2011:01:08, 39
2011:01:09, 11
2011:01:10, 7
2011:01:11, 4
2011:01:12, 8
2011:01:13, 5
2011:01:14, 9
2011:01:15, 4
2011:01:16, 7
2011:01:17, 34
2011:01:18, 30
2011:01:19, 8
2011:01:20, 6
2011:01:21, 54
2011:01:22, 20
2011:01:23, 12
2011:01:24, 17
2011:01:25, 25
2011:01:26, 12
2011:01:27, 2
2011:01:28, 3
2011:01:29, 29
2011:01:30, 7
2011:01:31, 7
2011:02:01, 9
2011:02:02, 9
2011:02:03, 4
2011:02:04, 2
2011:02:05, 30
2011:02:06, 10
2011:02:07, 7
2011:02:08, 1
