ifd1_JpegIFOffset ,Count
@ +0x0326 = @ 0x0344, 42
@ +0x0327 = @ 0x0333, 483
@ +0x0328 = @ 0x0334, 381
@ +0x0328 = @ 0x0346, 8
@ +0x0329 = @ 0x0335, 171
@ +0x032A = @ 0x0336, 9
@ +0x032A = @ 0x0348, 1
@ +0x032C = @ 0x0338, 212
@ +0x032E = @ 0x033A, 149
@ +0x0330 = @ 0x033C, 27
@ +0x0330 = @ 0x034E, 18
@ +0x0332 = @ 0x033E, 1069
@ +0x0332 = @ 0x0350, 9
@ +0x0333 = @ 0x033F, 1
@ +0x0334 = @ 0x0340, 580
@ +0x0334 = @ 0x0352, 16
@ +0x0336 = @ 0x0342, 45
@ +0x0338 = @ 0x0344, 75
@ +0x0338 = @ 0x0356, 1
@ +0x033A = @ 0x0346, 90
@ +0x033A = @ 0x0358, 3
@ +0x033C = @ 0x0348, 40
@ +0x033E = @ 0x034A, 60
@ +0x033F = @ 0x034B, 1
@ +0x0340 = @ 0x034C, 501
@ +0x0340 = @ 0x035E, 1
@ +0x0342 = @ 0x034E, 338
@ +0x0344 = @ 0x0350, 55
@ +0x0345 = @ 0x0351, 2
@ +0x0346 = @ 0x0352, 1829
@ +0x0346 = @ 0x0364, 71
@ +0x0347 = @ 0x0353, 11
@ +0x0348 = @ 0x0354, 1276
@ +0x0348 = @ 0x0366, 83
@ +0x0349 = @ 0x0355, 52
@ +0x034A = @ 0x0356, 327
@ +0x034A = @ 0x0368, 14
@ +0x034C = @ 0x0358, 473
@ +0x034C = @ 0x036A, 5
@ +0x034D = @ 0x0359, 836
@ +0x034D = @ 0x036B, 26
@ +0x034E = @ 0x035A, 664
@ +0x034E = @ 0x036C, 4
@ +0x034F = @ 0x035B, 1
@ +0x0350 = @ 0x035C, 315
@ +0x0350 = @ 0x036E, 4
@ +0x0351 = @ 0x035D, 575
@ +0x0351 = @ 0x036F, 28
@ +0x0352 = @ 0x035E, 1469
@ +0x0352 = @ 0x0370, 57
@ +0x0353 = @ 0x035F, 2002
@ +0x0353 = @ 0x036E, 1
@ +0x0353 = @ 0x0370, 1
@ +0x0353 = @ 0x0371, 7
@ +0x0353 = @ 0x0372, 1
@ +0x0353 = @ 0x0373, 3
@ +0x0353 = @ 0x0374, 3
@ +0x0353 = @ 0x0375, 1
@ +0x0353 = @ 0x0376, 1
@ +0x0353 = @ 0x0377, 4
@ +0x0353 = @ 0x0378, 4
@ +0x0353 = @ 0x0379, 6
