ifds_ExposureTime ,Count
1/1564 s, 10
1/1565 s, 1
1/1566 s, 1
1/1567 s, 8
1/1568 s, 5
1/1569 s, 2
1/157 s, 87
1/1571 s, 1
1/1572 s, 8
1/1573 s, 6
1/1574 s, 3
1/1575 s, 25
1/1576 s, 9
1/1577 s, 128
1/1579 s, 9
1/158 s, 196
1/1580 s, 76
1/1581 s, 1
1/1582 s, 25
1/1583 s, 1
1/1584 s, 16
1/1585 s, 15
1/1586 s, 1
1/1587 s, 16
1/1588 s, 204
1/159 s, 86
1/1590 s, 2
1/1591 s, 2
1/1592 s, 47
1/1593 s, 3
1/1594 s, 1
1/1595 s, 141
1/1596 s, 6
1/1597 s, 8
1/1599 s, 1
1/16 s, 1343
1/160 s, 27437
1/1600 s, 5549
1/1601 s, 2
1/1602 s, 6
1/1603 s, 1
1/1604 s, 8
1/1605 s, 4
1/1606 s, 1
1/1607 s, 57
1/1608 s, 12
1/1609 s, 1
1/161 s, 109
1/1610 s, 10
1/1611 s, 1
1/1612 s, 14
1/16129 s, 1
1/1613 s, 1
1/1615 s, 4
1/1616 s, 9
1/1618 s, 2
1/1619 s, 5
1/162 s, 158
1/1620 s, 43
1/1621 s, 2
1/1623 s, 130
1/1624 s, 6
1/1626 s, 2
1/1628 s, 8
1/1629 s, 4
1/163 s, 79
1/1631 s, 4
1/16312 s, 1
1/1632 s, 13
1/1634 s, 2
1/16384 s, 3
1/1639 s, 5
1/164 s, 105
1/1640 s, 19
1/1642 s, 228
1/1643 s, 8
1/1644 s, 7
1/1645 s, 2
1/1646 s, 16
1/1647 s, 30
1/1648 s, 7
1/1649 s, 3
1/165 s, 66
1/1650 s, 1
1/1652 s, 8
1/1653 s, 1
1/1655 s, 2
1/1656 s, 26
1/1657 s, 1
1/1658 s, 10
1/1659 s, 3
1/166 s, 81
1/1660 s, 7
1/1661 s, 3
1/1663 s, 2
1/1664 s, 11
1/1665 s, 2
1/1666 s, 32
1/1667 s, 25
1/1668 s, 11
1/167 s, 77
1/1670 s, 1
1/1672 s, 145
1/1673 s, 3
1/1675 s, 9
1/1676 s, 249
1/1677 s, 3
1/168 s, 104
1/1680 s, 33
1/1681 s, 39
1/1682 s, 1
1/1683 s, 3
1/16832 s, 1
1/1684 s, 4
1/1685 s, 11
1/1686 s, 7
1/1688 s, 8
1/1689 s, 3
1/169 s, 196
1/1690 s, 1
1/1692 s, 9
1/1693 s, 5
1/1694 s, 3
1/16949 s, 1
1/1695 s, 171
1/1696 s, 13
1/1698 s, 1
1/17 s, 6388
1/170 s, 125
1/1700 s, 9
1/1703 s, 7
1/1704 s, 10
1/1705 s, 2
1/1708 s, 8
1/1709 s, 73
1/171 s, 83
1/1710 s, 2
1/1711 s, 2
1/1712 s, 11
1/1714 s, 15
1/1715 s, 2
1/1716 s, 12
1/1718 s, 1
1/1719 s, 1
1/17199 s, 1
1/172 s, 85
1/1720 s, 12
1/1721 s, 32
1/1722 s, 6
1/1724 s, 15
1/1725 s, 1
1/1726 s, 1
1/1727 s, 134
1/1728 s, 11
1/173 s, 97
1/1730 s, 1
1/1731 s, 1
1/1732 s, 1
1/1733 s, 1
1/1734 s, 8
1/1735 s, 12
1/1736 s, 8
1/1738 s, 3
1/1739 s, 9
1/174 s, 83
1/1740 s, 32
1/17408 s, 1
1/1741 s, 1
1/1744 s, 6
1/1745 s, 4
1/1747 s, 1
1/1748 s, 183
1/1749 s, 3
1/175 s, 115
1/1750 s, 4
1/1751 s, 11
1/1752 s, 5
1/1754 s, 7
1/1755 s, 3
1/1756 s, 6
1/1757 s, 7
1/1758 s, 86
1/1759 s, 4
1/176 s, 167
1/1760 s, 1
1/1763 s, 2
1/1764 s, 10
1/1765 s, 18
1/1766 s, 1
1/1768 s, 8
1/1769 s, 12
1/177 s, 117
1/1772 s, 12
1/1773 s, 3
1/1774 s, 199
1/1775 s, 1
1/1776 s, 8
1/1777 s, 2
1/1778 s, 2
1/1779 s, 28
1/178 s, 62
1/1780 s, 4
1/1781 s, 1
1/1782 s, 4
1/1783 s, 137
1/1784 s, 1
1/1785 s, 10
1/1786 s, 70
1/1787 s, 2
1/1788 s, 25
1/1789 s, 3
1/179 s, 66
1/1790 s, 1
1/1791 s, 2
1/1792 s, 4
1/1793 s, 1
1/1794 s, 2
1/1795 s, 4
1/1796 s, 5
1/1798 s, 8
1/1799 s, 41
1/18 s, 137
1/180 s, 4648
1/1800 s, 17
1/1801 s, 5
1/1803 s, 1
1/1807 s, 1
1/1808 s, 193
1/181 s, 146
1/1811 s, 1
1/1812 s, 19
1/1813 s, 1
1/1816 s, 9
1/1817 s, 4
1/1818 s, 11
1/18182 s, 9
1/1819 s, 2
1/182 s, 124
1/1820 s, 21
1/1821 s, 1
1/1822 s, 2
1/1823 s, 1
1/1824 s, 14
1/1825 s, 1
1/1826 s, 1
1/1827 s, 6
1/1828 s, 2
1/183 s, 71
1/1830 s, 2
1/1831 s, 6
1/1832 s, 4
1/1833 s, 3
1/1834 s, 5
1/1836 s, 16
1/1837 s, 4
1/184 s, 110
1/1840 s, 14
1/1841 s, 1
1/1842 s, 134
1/1843 s, 9
1/1844 s, 10
1/1845 s, 3
1/1846 s, 57
1/1847 s, 7
1/1848 s, 1
1/185 s, 84
1/1850 s, 1
1/1851 s, 11
1/18519 s, 4
1/1852 s, 5
1/1853 s, 2
1/1854 s, 1
1/1856 s, 8
1/1857 s, 7
1/18578 s, 1
1/1858 s, 1
1/186 s, 84
1/1860 s, 13
1/1862 s, 2
1/1863 s, 1
1/1864 s, 7
1/1865 s, 3
1/1866 s, 77
1/1867 s, 20
1/1869 s, 222
1/187 s, 76
1/1870 s, 11
1/1872 s, 5
1/1873 s, 2
1/1874 s, 5
1/1875 s, 5
1/1876 s, 3
1/1878 s, 6
1/1879 s, 1
1/188 s, 65
1/1880 s, 4
1/1883 s, 42
1/1885 s, 236
1/1886 s, 9
1/1887 s, 7
1/1888 s, 17
1/189 s, 166
1/1890 s, 36
1/1892 s, 8
1/1896 s, 7
1/1897 s, 3
1/1898 s, 9
1/19 s, 92
1/190 s, 121
1/1900 s, 9
1/1901 s, 1
1/1902 s, 4
1/1903 s, 1
1/1904 s, 3
1/1905 s, 139
1/1906 s, 1
1/1908 s, 14
1/191 s, 100
1/1910 s, 1
1/1912 s, 21
1/1913 s, 1
1/1914 s, 2
1/1915 s, 5
1/1916 s, 7
1/1919 s, 94
1/192 s, 140
1/1920 s, 12
1/1922 s, 2
1/1923 s, 3
1/1924 s, 8
1/1925 s, 1
1/1928 s, 14
1/1929 s, 6
1/193 s, 116
1/1930 s, 1
1/1931 s, 4
1/1932 s, 8
1/1933 s, 2
1/1934 s, 1
1/19349 s, 1
1/1938 s, 231
1/194 s, 123
1/1940 s, 27
1/1941 s, 5
1/1942 s, 1
1/1943 s, 2
1/1944 s, 6
1/1945 s, 1
1/1946 s, 3
1/1947 s, 2
1/1948 s, 5
1/1949 s, 1
1/195 s, 59
1/1950 s, 7
1/1951 s, 1
1/1952 s, 7
1/1953 s, 69
1/1954 s, 1
1/1956 s, 2
1/1957 s, 1
1/196 s, 86
1/1960 s, 13
1/1961 s, 2
1/1963 s, 2
1/1964 s, 4
1/1966 s, 12
1/1967 s, 1
1/1968 s, 9
1/1969 s, 1
1/197 s, 86
1/1970 s, 2
1/1971 s, 10
1/1972 s, 147
1/1973 s, 2
1/1975 s, 1
1/1976 s, 4
1/1977 s, 2
1/198 s, 71
1/1980 s, 35
1/1981 s, 1
1/1982 s, 3
1/1983 s, 1
1/1984 s, 7
1/1985 s, 1
1/1986 s, 1
1/1987 s, 2
1/1988 s, 1
1/1989 s, 1
1/199 s, 60
1/1991 s, 1
1/1992 s, 9
1/1993 s, 9
1/1994 s, 2
1/1996 s, 7
1/1999 s, 17
1/2 s, 1101
1/20 s, 23296
1/200 s, 31286
1/2000 s, 4413
1/20000 s, 7
1/2001 s, 1
1/2002 s, 1
1/2003 s, 1
1/2004 s, 11
1/2006 s, 1
1/2008 s, 190
1/2009 s, 1
1/201 s, 107
1/2010 s, 1
1/2011 s, 217
1/2012 s, 6
1/2014 s, 3
1/2016 s, 42
1/2017 s, 4
1/2018 s, 4
1/2019 s, 1
1/202 s, 78
1/2020 s, 19
1/2022 s, 9
1/2024 s, 11
1/2025 s, 7
1/2028 s, 6
1/203 s, 130
1/2032 s, 2
1/2036 s, 18
1/2039 s, 1
1/204 s, 96
1/2040 s, 22
1/2041 s, 1
1/2043 s, 8
1/2045 s, 150
1/2048 s, 163
1/2049 s, 3
1/205 s, 66
1/2051 s, 1
1/2053 s, 77
1/2056 s, 3
1/2057 s, 1
1/2058 s, 2
1/2059 s, 2
1/206 s, 57
1/2062 s, 10
1/2064 s, 15
1/2066 s, 2
1/2068 s, 1
1/207 s, 95
1/2070 s, 17
1/2071 s, 2
1/2072 s, 15
1/2073 s, 2
1/2075 s, 2
1/2077 s, 1
1/2078 s, 1
1/208 s, 131
1/2080 s, 9
1/2081 s, 3
1/2083 s, 34
1/20833 s, 16
1/2084 s, 1
1/2086 s, 1
1/2087 s, 5
1/2088 s, 197
1/2089 s, 1
1/209 s, 78
1/2091 s, 3
1/2092 s, 6
1/2093 s, 1
1/2095 s, 1
1/2096 s, 5
1/2097 s, 5
1/2099 s, 18
1/21 s, 649
1/210 s, 205
1/2101 s, 2
1/2102 s, 1
1/2103 s, 1
1/2104 s, 15
1/2105 s, 6
1/2108 s, 1
1/2109 s, 2
1/211 s, 90
1/2111 s, 1
1/2112 s, 10
1/2115 s, 2
1/2116 s, 1
1/2117 s, 1
1/2118 s, 1
1/212 s, 62
1/2120 s, 9
1/2122 s, 2
1/2123 s, 123
1/2124 s, 1
1/21248 s, 1
1/2125 s, 1
1/2126 s, 1
1/2127 s, 9
1/2128 s, 11
1/213 s, 52
1/2135 s, 16
1/2136 s, 5
1/2138 s, 4
1/2139 s, 3
1/214 s, 84
1/2140 s, 1
1/2143 s, 11
1/2144 s, 8
1/2145 s, 1
1/2146 s, 3
1/2149 s, 1
1/215 s, 172
1/2150 s, 5
1/2151 s, 1
1/2152 s, 4
1/2153 s, 1
1/215356 s, 1
1/2155 s, 233
1/2158 s, 1
1/2159 s, 16
1/216 s, 46
1/2160 s, 130
1/2161 s, 4
1/2162 s, 3
1/2163 s, 2
1/2164 s, 2
1/2165 s, 66
1/2166 s, 2
1/2167 s, 1
1/2168 s, 7
1/2169 s, 166
1/217 s, 143
1/2170 s, 1
1/2171 s, 1
1/2172 s, 1
1/2173 s, 12
1/2176 s, 12
1/2177 s, 1
1/2178 s, 1
1/218 s, 90
1/2180 s, 1
