ifd_size ,Count
0:20:132:186:30:158, 1
0:20:132:186:30:182, 14
0:20:132:186:30:186, 4
0:20:132:186:30:218, 20
0:20:132:186:30:222, 41
0:20:132:186:30:226, 51
0:20:132:186:30:250, 10
0:20:132:186:30:254, 207
0:20:132:186:30:66, 8
0:20:132:218:30, 2
0:20:132:218:30:6, 35
0:20:132:254, 7
0:20:132:278:30:251, 9
0:20:132:350, 2
0:20:132:362:1448, 265
0:20:132:362:2212, 229
0:20:132:362:2452, 22
0:20:132:362:2488, 1308
0:20:132:362:2492, 69
0:20:132:370, 10
0:20:132:376, 1
0:20:132:390, 3
0:20:132:400:104, 6
0:20:132:400:116, 6
0:20:132:402, 2
0:20:132:410, 3
0:20:132:454, 2
0:20:133, 60
0:20:1338:484:1446:59, 2
0:20:134, 1
0:20:134:100, 14
0:20:134:166:30:256, 81
0:20:134:186, 7
0:20:134:186:30, 55
0:20:134:186:30:250, 5
0:20:134:186:30:254, 66
0:20:134:186:30:66, 8
0:20:134:198:30, 15
0:20:134:202, 1
0:20:134:206:30:249, 28
0:20:134:206:30:253, 32
0:20:134:206:30:38, 10
0:20:134:206:30:6, 2
0:20:134:214, 1
0:20:134:218:30, 2
0:20:134:218:30:6, 5
0:20:134:226:30, 8
0:20:134:226:30:218, 34
0:20:134:226:30:222, 54
0:20:134:226:30:249, 2
0:20:134:226:30:253, 6
0:20:134:226:30:66, 21
0:20:134:338, 4
0:20:134:362:1448, 335
0:20:134:90, 1
0:20:135, 167
0:20:135:132, 14
0:20:135:90:37, 6
0:20:136:154:30, 57
0:20:136:154:30:256, 241
0:20:136:154:30:98, 39
0:20:136:174:30, 124
0:20:136:174:30:194, 4
0:20:136:174:30:222, 25
0:20:136:174:30:250, 85
0:20:136:174:30:254, 150
0:20:136:174:30:78, 381
0:20:136:186:30, 36
0:20:136:186:30:226, 90
0:20:136:186:30:254, 13
0:20:136:188:32, 2
0:20:136:214, 2
0:20:136:294, 31
0:20:136:294:174, 22
0:20:136:294:206, 161
0:20:136:362:1096, 35
0:20:136:362:1096:114, 1
0:20:136:362:1096:146, 8
0:20:136:362:1448, 593
0:20:136:362:1448:146, 230
0:20:136:362:1448:178, 5
0:20:136:362:1448:198, 6
0:20:136:362:2488:102, 3
0:20:136:362:2488:174, 46
0:20:136:362:2488:206, 863
0:20:136:398:12332:198, 5
0:20:136:400:116, 9
0:20:136:400:136, 3
0:20:136:470, 119
0:20:136:550, 27
0:20:136:562, 43
0:20:136:574, 1
0:20:136:86, 12
0:20:137:132, 131
0:20:138, 5
0:20:138:116, 26
0:20:138:126:354, 31
0:20:138:150, 1
0:20:138:154, 2
0:20:138:174:30:250, 1
0:20:138:174:30:254, 4
0:20:138:174:30:78, 1
0:20:138:186:30, 31
0:20:138:186:30:250, 36
0:20:138:186:30:254, 93
0:20:138:192, 2
0:20:138:208, 17
0:20:138:214, 1
0:20:138:226:30:249, 1
0:20:138:226:30:97, 2
0:20:138:234:30:230, 1
0:20:138:258:252:884, 1
0:20:138:258:78:30, 413
0:20:138:262, 1
0:20:138:268, 1
0:20:138:294:942:5536, 6
0:20:138:298:30:38, 1
0:20:138:342, 1
0:20:138:342:746, 5
0:20:138:354, 1
0:20:138:378:632:6500, 9
0:20:138:378:634:6500, 11
0:20:138:390:654:8000, 1
0:20:138:396, 13
0:20:138:398, 2
0:20:138:414:224:54, 1
0:20:138:426:188:892, 1
0:20:138:426:238:3604, 1
0:20:138:470, 129
0:20:138:474:580, 1
0:20:138:474:614, 59
0:20:138:474:616, 175
0:20:138:474:650, 25
0:20:138:474:872, 1
0:20:138:482, 17
0:20:138:486:30:1598, 11
0:20:138:486:30:573, 247
0:20:138:486:30:588, 1
0:20:138:486:30:590, 3480
0:20:138:486:30:606, 31
0:20:138:486:602, 25
0:20:138:550, 1
0:20:138:562, 3
0:20:138:610:312, 1
0:20:138:663:789:30, 1
0:20:138:78, 39
0:20:1392:338:11514, 1
0:20:140, 4
0:20:140:154:30:122, 74
0:20:140:154:30:134, 34
0:20:140:154:30:6, 2
0:20:140:154:30:98, 68
0:20:140:176:32, 1
0:20:140:186:30:250, 162
0:20:140:186:30:254, 140
0:20:140:208:32:8, 1
0:20:140:258:30:66, 20
0:20:140:291:42, 6
0:20:140:344:20, 6
0:20:140:470, 68
0:20:140:78, 1
0:20:142, 7
0:20:14236:606:106:30, 247
0:20:142:116, 12
0:20:142:174:30, 4
0:20:142:174:30:194, 38
0:20:142:266:30, 64
0:20:142:362:1448:114, 1
0:20:142:362:1448:146, 83
0:20:142:362:1448:178, 11
0:20:142:362:1448:198, 12
0:20:142:398:12118:146, 3
0:20:142:398:12120:146, 180
0:20:142:454:7792, 7
0:20:142:470, 7
0:20:142:482, 4
0:20:143, 20
0:20:144:182:2024, 36
0:20:144:210, 17
0:20:144:362:1448:146, 95
0:20:144:362:2212:146, 106
0:20:144:362:2452:114, 1
0:20:144:362:2452:146, 39
0:20:144:362:2488:206, 31
0:20:144:454:7570, 14
0:20:144:502, 25
0:20:144:55, 60
0:20:145:182:237, 5
0:20:146, 2
0:20:146:100926574, 3
0:20:146:186, 4
0:20:146:186:30, 10
0:20:146:186:30:194, 42
0:20:146:206:30:218, 4
0:20:146:206:30:66, 4
0:20:146:21168163, 2
0:20:146:226:30:218, 1
0:20:146:226:30:222, 1
0:20:146:258:30:6, 6
0:20:146:358, 13
0:20:146:362:1448:178, 3
0:20:146:362:1448:198, 16
0:20:146:422:18, 22
0:20:146:434:18, 99
0:20:147, 6
0:20:1475:484:1584:59, 1
0:20:147:306, 8
0:20:148, 1
0:20:148:126:490, 1
0:20:148:130, 1
0:20:148:230, 5
0:20:148:230:30, 16
0:20:148:338, 1
0:20:148:362:1448:114, 1
0:20:148:362:1448:146, 83
0:20:148:362:1448:178, 7
0:20:148:362:1448:198, 14
0:20:148:370, 3
0:20:148:434:18, 16
0:20:148:454:7570, 1
0:20:148:486:2948:30, 24
0:20:148:562:34210, 1
0:20:148:562:34672, 1
0:20:148:562:34876, 1
0:20:148:562:35622, 1
0:20:149, 20
0:20:149:238, 180
0:20:149:78, 466
0:20:150, 1
0:20:1506:338:11514, 1
0:20:150:116, 2
0:20:150:182:1128, 5
0:20:150:182:2024, 32
0:20:150:210, 277
0:20:150:210:96, 10
0:20:150:228:78, 5
0:20:150:310, 38
0:20:150:314:66, 1
0:20:150:344:310:148, 4
0:20:150:370:56:34, 1
0:20:150:378:252:2980, 1
0:20:150:378:78:1366, 659
0:20:150:378:78:1386, 44
0:20:150:378:78:1402, 956
0:20:150:378:78:1406, 1737
0:20:150:390:78:1074, 225
0:20:150:390:78:1678, 912
0:20:150:390:78:1690, 82
0:20:150:390:78:1714, 282
0:20:150:392:314:232, 82
0:20:150:402:228:1234, 7
0:20:150:402:228:2790, 1
0:20:150:402:238:1902, 1
0:20:150:402:30:1229, 163
0:20:150:434, 6
0:20:150:458, 3
0:20:150:474:593, 1
0:20:150:486, 6
0:20:150:486:30, 3
0:20:150:498:30, 2
0:20:150:510:30:573, 21
0:20:150:510:30:577, 280
0:20:150:510:30:594, 183
0:20:150:514:78, 2
0:20:150:562:24480, 1
0:20:150:562:25152, 1
0:20:150:562:25472, 1
0:20:150:562:25514, 1
0:20:150:562:25646, 1
0:20:150:562:25656, 1
0:20:150:562:25848, 1
0:20:150:562:25850, 1
0:20:150:562:25870, 1
0:20:150:562:25984, 1
0:20:150:562:26066, 1
0:20:150:562:26348, 1
0:20:150:562:26472, 1
0:20:150:562:26566, 1
0:20:150:562:26616, 1
0:20:150:562:26664, 1
0:20:150:562:26696, 1
0:20:150:562:26760, 1
0:20:150:562:26790, 1
0:20:150:562:27110, 1
0:20:150:562:27206, 1
0:20:150:562:27324, 1
0:20:150:562:27410, 1
0:20:150:562:28590, 1
0:20:150:78, 1
0:20:150:90, 4
0:20:151:146, 567
0:20:151:78, 9
0:20:152, 17
0:20:152:128:1684106281, 89
0:20:152:146, 15
0:20:152:162, 2
0:20:152:182:1128, 148
0:20:152:182:16430, 5
0:20:152:182:2024, 9
0:20:152:182:25168, 14
0:20:152:210, 247
0:20:152:226, 16
0:20:152:374, 1
0:20:152:378:30:6, 3
0:20:152:396, 88
0:20:152:416, 43
0:20:152:452, 3
0:20:152:96, 1
0:20:1531:484:1631:59, 1
0:20:153:270:30, 8
0:20:153:302:30, 33
0:20:153:302:30:193, 80
0:20:153:302:30:38, 11
0:20:153:78, 21
0:20:154, 41
0:20:154:132, 1
0:20:154:162, 21
0:20:154:174, 3
0:20:154:174:30, 54
0:20:154:270:30, 9
0:20:154:274:520:30, 2
0:20:154:302:30, 42
0:20:154:302:30:38, 149
0:20:154:306:520:30, 23
0:20:154:406, 1
0:20:154:98, 2
0:20:155, 1
0:20:155:132, 1
0:20:155:250, 26
0:20:155:383, 75
0:20:155:396, 133
0:20:156, 64
0:20:156:142, 7
0:20:156:154, 26
0:20:156:182:248, 31
0:20:156:238, 25
0:20:156:298, 2
0:20:156:304:30, 40
0:20:156:338:4052, 48
0:20:156:348:32, 27
