ifds_DigitalZoomRatio ,Count
2025/1808, 1
2026/1197, 1
2026/835, 1
2027/1399, 1
2027/1484, 1
2029/1241, 1
2029/1679, 1
203/186, 1
203/75, 1
2031/872, 1
2035/1712, 1
2037/1507, 1
204/100, 7
204/101, 7
204/103, 3
204/107, 6
204/109, 13
204/113, 7
204/115, 6
204/121, 4
204/125, 4
204/127, 9
204/131, 3
204/133, 11
204/137, 8
204/139, 2
204/143, 9
204/145, 5
204/149, 4
204/151, 3
204/155, 4
204/157, 5
204/163, 1
204/167, 2
204/173, 1
204/175, 2
204/179, 1
204/181, 1
204/191, 1
204/41, 7
204/43, 2
204/47, 1
204/49, 2
204/53, 2
204/55, 3
204/59, 2
204/61, 2
204/65, 1
204/67, 3
204/71, 6
204/73, 2
204/77, 4
204/79, 5
204/83, 13
204/89, 7
204/91, 2
204/95, 4
204/97, 7
2041/1660, 2
2042664/1000000, 5
20429/7089, 1
2044/1235, 1
2045/1877, 1
2048/1024, 66
2048/1035, 2
2048/1083, 2
2048/1101, 2
2048/1125, 4
2048/1147, 1
2048/1159, 1
2048/1207, 1
2048/1259, 1
2048/1280, 88
2048/1347, 1
2048/1363, 1
2048/1365, 1
2048/1379, 2
2048/1539, 1
2048/1600, 75
2048/1781, 1
2048/1837, 1
2048/1867, 1
2048/1961, 1
2048/2048, 12620
2048/409, 2
2048/413, 1
2048/547, 1
2048/563, 1
2048/607, 1
2048/611, 1
2048/613, 1
2048/640, 166
2048/725, 1
2048/805, 1
2048/832, 30
2048/857, 1
2048/885, 1
2048/899, 1
2048/913, 1
2048/953, 1
2049/856, 1
205/100, 4
2050/1387, 2
2050/1947, 2
2051/762, 1
2053/789, 1
2055/911, 1
2056/595, 9
205783/65536, 2
206/100, 18
206/167, 1
206/206, 1
206/81, 1
2064/1697, 1
2065/1958, 1
20676/14755, 2
2068/1785, 1
20682/8923, 3
207/100, 48
207/65, 1
20700/100, 1
2078/1095, 1
208/100, 6
208/167, 1
2081/1370, 1
2082/893, 1
2083/1575, 1
2083/891, 1
2084/1211, 1
20864/11403, 1
209/100, 18
209/111, 1
209/65, 1
209/73, 2
2091/1135, 1
2092110/1000000, 8
2093/1224, 1
2094/1001, 1
2096/545, 1
20969/5394, 1
209715/65536, 1
21/10, 34
21/13, 11
21/16, 74
21/8, 2
210/100, 41
210/60, 3
2104/987, 1
2105/1057, 1
2105/744, 1
2108/1439, 1
211/100, 3
211/83, 1
2111/1365, 1
2113/1231, 1
2119/1241, 1
212/100, 6
212/212, 1
212/88, 1
21250/10000, 23
2127/1226, 1
2127/1751, 1
2129/1713, 1
212992/65535, 5
212992/65536, 1
213/100, 13
213/65, 2
2133/1060, 1
21360/5761, 1
