ifds_DigitalZoomRatio ,Count
879/331, 2
8799/3677, 2
881/331, 1
8819/7467, 1
8824/7649, 1
883/227, 1
885/227, 1
8851/4539, 1
887/325, 1
887/887, 144
8885/3437, 1
889/415, 1
8893/3924, 1
8893/7747, 1
89/37, 1
891/325, 1
893/348, 2
8933/3960, 1
8936/4177, 1
8945/4954, 1
8953/2409, 2
89784/65535, 43
899/333, 1
899/371, 1
9/2, 2
9/4, 6
9/5, 5
9/7, 4
9/8, 6
90/10, 2
90/60, 2
900/256, 1
9025/6198, 1
90423/65535, 1
9049/5929, 1
905/227, 1
9052/7711, 1
9057/5083, 1
9061/4157, 1
907/333, 1
9078/5497, 2
9086/2525, 2
909/331, 1
909/371, 1
91/10, 1
91/37, 1
911/331, 1
9121/5860, 3
9123/4934, 1
913/331, 1
915/331, 1
9162/5521, 1
917/331, 1
9172/8799, 1
9182/5957, 1
9185/2704, 1
9185/4534, 1
919/100, 1
919/325, 1
919/331, 1
9195/3974, 3
9201/5252, 1
921/325, 2
923/225, 1
92406/65536, 1
925/331, 1
9263/5659, 1
927/331, 2
9275/8249, 2
93/65, 1
930/100, 2
9308/4893, 1
935/1024, 2
935/739, 1
937/325, 1
9387/3652, 1
939/331, 1
9397/3048, 2
9399/4022, 1
9429/4834, 1
943/371, 1
9445/4082, 1
945/331, 1
94543/39142, 1
9461/3513, 1
9462/4321, 1
947/331, 1
9471/4211, 1
9471/5213, 1
9494/7889, 1
951/331, 2
951/421, 1
9519/7642, 1
9521/4829, 1
953/325, 2
954/821, 1
955/333, 1
95683/65535, 2
95683/65536, 6
957/325, 1
959/333, 1
9597/8507, 1
96/35, 2
96/60, 2
960/727, 1
9603/5314, 1
9609/4763, 2
9624/3971, 1
96266/65536, 1
965/371, 1
965/749, 1
9655/3651, 2
9659/5205, 1
9661/3381, 1
967/331, 7
968/355, 2
968/553, 1
968/771, 1
969/371, 1
9690/3479, 1
97/21, 6
97/65, 3
97/75, 1
973/331, 1
973/520, 2
9732/3449, 1
979/325, 1
98000/65535, 3
9809/4767, 2
981/227, 1
981/325, 1
981/478, 1
9811/3483, 1
983/331, 1
9833/8112, 1
984/100, 2
985/100, 1
9855/3308, 1
9869/3801, 1
987/325, 1
9870/3893, 1
9872/3943, 1
989/227, 1
99/73, 1
9921/8392, 1
9925/5397, 1
9935/3934, 1
994/981, 2
9958/8287, 1
99615/65535, 6
99615/65536, 2
9971/4325, 2
9985/7269, 1
999/331, 1
