ifd0_GPSOffset ,Count
@ 0x052C, 3
@ 0x0530, 1865
@ 0x0536, 237
@ 0x053E, 9
@ 0x0546, 1
@ 0x0585, 44
@ 0x0592, 1
@ 0x0593, 1
@ 0x0597, 1
@ 0x0599, 76
@ 0x059A, 129
@ 0x059C, 3
@ 0x059E, 1
@ 0x05A8, 5
@ 0x05A9, 1
@ 0x05AB, 2
@ 0x05AF, 125
@ 0x05B0, 33
@ 0x05B1, 1
@ 0x05B6, 1452
@ 0x05BA, 2
@ 0x05BC, 5
@ 0x05C0, 2
@ 0x05C2, 67
@ 0x05C3, 2
@ 0x05C4, 52
@ 0x05C6, 1
@ 0x05C8, 3
@ 0x05CB, 1
@ 0x05CE, 11
@ 0x05CF, 1
@ 0x05D0, 1
@ 0x05D2, 1
@ 0x05D8, 1
@ 0x05DA, 107
@ 0x05DC, 26
@ 0x05E0, 7
@ 0x05E2, 206
@ 0x05E4, 1
@ 0x05E5, 1
@ 0x05E6, 120
@ 0x05E8, 179
@ 0x05EC, 254
@ 0x05EE, 1273
@ 0x05F0, 11
@ 0x05F2, 215
@ 0x05F4, 92
@ 0x05F5, 1
@ 0x05F6, 31
@ 0x05F7, 1
@ 0x05F8, 1
@ 0x05FA, 1271
@ 0x05FC, 11
@ 0x05FD, 1
@ 0x05FE, 76
@ 0x0600, 8
@ 0x0601, 1
@ 0x0602, 140
@ 0x0605, 1
@ 0x0606, 119
@ 0x0608, 3
@ 0x0609, 1
@ 0x060A, 2
@ 0x060B, 1
@ 0x060C, 58
@ 0x060D, 1
@ 0x060E, 68
@ 0x060F, 1
@ 0x0610, 3
@ 0x0611, 6
@ 0x0612, 4
@ 0x0614, 3
@ 0x0615, 2
@ 0x0616, 5
@ 0x0617, 8
@ 0x0618, 1
@ 0x061A, 19
@ 0x061C, 2
@ 0x061E, 6
@ 0x0620, 89
@ 0x0622, 5
@ 0x0624, 28
@ 0x0625, 1
@ 0x0626, 14
@ 0x0628, 1
@ 0x062A, 308
@ 0x062C, 274
@ 0x062F, 1
@ 0x0630, 613
@ 0x0632, 647
@ 0x0633, 1
@ 0x0634, 7
@ 0x0636, 407
@ 0x0637, 1
@ 0x0638, 318
@ 0x063C, 998
@ 0x063E, 746
@ 0x0640, 30
@ 0x0641, 63
@ 0x0642, 86
@ 0x0643, 2
@ 0x0644, 150
@ 0x0646, 95
@ 0x0648, 116
@ 0x0649, 1
@ 0x064A, 295
@ 0x064C, 36
@ 0x064E, 8
@ 0x0650, 126
@ 0x0652, 61
@ 0x0656, 6
@ 0x0658, 4
@ 0x0659, 1
@ 0x065C, 26
@ 0x065E, 33
@ 0x0660, 1
@ 0x0662, 18
@ 0x0664, 3
@ 0x0666, 5
@ 0x0668, 1
@ 0x066B, 3
@ 0x066C, 2
@ 0x066E, 1
@ 0x066F, 1
@ 0x0670, 3
@ 0x0671, 1
@ 0x0672, 14
@ 0x0674, 100
@ 0x0675, 1
@ 0x0676, 1
@ 0x0677, 1
@ 0x067A, 497
@ 0x067B, 1
@ 0x067E, 2
@ 0x067F, 1
@ 0x0680, 84
@ 0x0681, 1
@ 0x0686, 807
@ 0x0687, 2
@ 0x0688, 7
@ 0x068A, 1
@ 0x068C, 34
@ 0x068E, 46
@ 0x0692, 149
@ 0x0694, 1
@ 0x0698, 14
@ 0x069A, 35
@ 0x06A0, 49
@ 0x06A6, 19
@ 0x06AA, 1
@ 0x06AC, 3
@ 0x06B8, 1
@ 0x06C9, 1
@ 0x06D4, 1
@ 0x06FA, 2
@ 0x0704, 3
@ 0x0709, 6
@ 0x0716, 18
@ 0x0724, 1
@ 0x0731, 1
@ 0x073C, 1
@ 0x0743, 234
@ 0x074F, 34
@ 0x0752, 3
@ 0x0762, 2
@ 0x076E, 3
@ 0x0780, 1
@ 0x0786, 7
@ 0x0792, 1
@ 0x0794, 67
@ 0x079E, 112
@ 0x07A2, 241
@ 0x07A6, 5
@ 0x07A8, 107
@ 0x07AA, 95
@ 0x07AC, 186
@ 0x07AE, 105
@ 0x07B4, 1
@ 0x07B6, 1
@ 0x07BC, 1
@ 0x07BE, 3
@ 0x07CA, 35
@ 0x07D6, 4
@ 0x07DA, 3
@ 0x07E6, 10
@ 0x07EC, 2
@ 0x07EE, 3
@ 0x07F2, 1
@ 0x07F4, 2
@ 0x07F6, 20
