ifds_bit ,Count
0000000000000011000000000011110000000101000000000000000111101000000000000000000000000, 570
0000000000000011000000000011110000000101100000000011000111101001110000001111110000000, 6
0000000000000011000000000011110000000111100000000010000111101000000000001001000000010, 9
0000000000000011000000000011110000010011000000000000000111100000000000000000000000000, 1
0000000000000011000000000011110000010011000000000000000111101000000000000110010111010, 365
0000000000000011000000000011110000010011000000000000000111101000000000001110010111010, 5
0000000000000011000000000011110000010111000000000000000111101000000000000110010111010, 64
0000000000000011000000000011110000100101100000000011000111100001110000000000000000000, 15
0000000000000011000000000011110000100101100000000011000111100001110000001111010000000, 2
0000000000000011000000000011110000100101100000000011000111101001110000001111010000000, 861
0000000000000011000000000011110000100111100000000010000111100000000000000000000000000, 1
0000000000000011000000000011110000100111100000000010000111101000000000001000000000010, 1
0000000000000011000000000011110000100111100000000010000111101000000000001001000000010, 113
0000000000000011000000000011110100110101100000000000000111101000000010001111010000000, 57
0000000000000011000000000011110110000011100000000000000111100000000000001111011000000, 632
0000000000000011000000000011110110100000100000000011000110000001110001001111010000000, 1
0000000000000011000000000011110110100000100000000011000111101001110000000000000000000, 9
0000000000000011000000000011110110100001000000000011000111100000000000001111010000000, 1
0000000000000011000000000011110110100001000000000011000111100000000001000000000000000, 1
0000000000000011000000000011110110100001000000000011000111100000000001001110010101100, 4
0000000000000011000000000011110110100001000000000011000111101000000000000000000000000, 17
0000000000000011000000000011110110100001000000000011000111101000000000001000000000000, 2
0000000000000011000000000011110110100001000000000011000111101000000000001110010000000, 155
0000000000000011000000000011110110100001000000000011000111101000000000001111010000000, 3
0000000000000011000000000011110110100001000000000011000111101000000001000000000000000, 1
0000000000000011000000000011110110100001000000000011000111101000000001001000000000000, 10
0000000000000011000000000011110110100001000000000011000111101000000001001110010000000, 376
0000000000000011000000000011110110100001000000000011000111101000000001001111010000000, 12
0000000000000011000000000011110110100001100000000001000111101001110000001111010000000, 11
0000000000000011000000000011110110100001100000000001000111101001110001001111010000000, 1
0000000000000011000000000011110110100001100000000011000111100001110000000000000000000, 19
0000000000000011000000000011110110100001100000000011000111100001110000001111010000000, 2
0000000000000011000000000011110110100001100000000011000111100001110000001111010001000, 2
0000000000000011000000000011110110100001100000000011000111100001110001000000000000000, 1
0000000000000011000000000011110110100001100000000011000111100001110001001111010000000, 6
0000000000000011000000000011110110100001100000000011000111101001110000000000000000000, 23
0000000000000011000000000011110110100001100000000011000111101001110000001111010000000, 972
0000000000000011000000000011110110100001100000000011000111101001110001000000000000000, 9
0000000000000011000000000011110110100001100000000011000111101001110001001000000000000, 25
0000000000000011000000000011110110100001100000000011000111101001110001001111010000000, 959
0000000000000011000000000011110110100101100000000011111111101001110000001110010000000, 77
0000000000000011000000000011110110110101100000000001000111100001110011001111010000000, 8
0000000000000011000000000011110110110101100000000011000111100001110010001111010000000, 23
0000000000000011000000000011110110110101100000000011000111100001110011000000000000000, 75
0000000000000011000000000011110110110101100000000011000111100001110011001111010000000, 14
0000000000000011000000000011110110110101100000000011000111101000000000001111010000010, 1
0000000000000011000000000011110110110101100000000011000111101001110011001111010000000, 6
0000000000000011000000000011110110110111100000001010000111100000000011100000000000000, 38
0000000000000011000000000011110110110111100000001010000111101000000011100000000000000, 564
0000000000000011000000000011110111000101100000000000000111100000000010000110010001000, 12
0000000000000011000000000011110111000101100000000000000111100000000010000110110001000, 7
0000000000000011000000000011110111000101100000000000000111100000000010000111110001000, 1
0000000000000011000000000011110111010110100000000010000111101000000000101111010111000, 78
