ifds_ApertureValue ,Count
44658/10000, 23
4466/1000, 6
447/100, 205
448/100, 55
449/100, 10
45/10, 1244
45/100, 1
45/12, 2
45/8, 30
450/100, 512
4500/1000, 1
4505/1000, 28
452/100, 805
4525/1000, 1
4526/1000, 27
4526069/1000000, 5
452608/65536, 1
453/100, 249
4532/1000, 153
453435/65536, 2620
4542/1000, 12
4561/1000, 20
456340288/134217728, 6
4569/1000, 34
457/100, 1
458/100, 525
4585/1000, 15
4586/1000, 8
458752/65536, 3035
459/100, 33
4597/1000, 4
46/10, 625
460/100, 2215
4600000/1000000, 2
461/100, 2
462/100, 7
4620/1000, 1
4625000/1000000, 1
463/100, 4
4632/1000, 3
4635/1000, 26
464/100, 463
4643856/1000000, 57
464385986/100000000, 1
4644/1000, 193
465/100, 213
466/100, 57
467/100, 106
468/100, 1
469/100, 5
469762048/134217728, 25
4699/1000, 1
47/10, 166
47/12, 2
470/100, 519
4700/1000, 16
4701/1000, 75
471/100, 15
472/100, 16
473/100, 2
474/100, 44
475/100, 51
4756/1000, 34
4757/100, 7
4757/1000, 29
476/100, 484
477/100, 12
479/100, 71
4795/1000, 8
48/10, 277
48/12, 7
48/8, 2
480/100, 147
481/100, 66
4810/1000, 1
4811985/1000000, 6
4812/1000, 22
482/100, 2
483/100, 19
483328/65536, 1427
4845/1918, 36288
485024/65536, 1502
485376/65536, 1
486/100, 55
4865919/1000000, 1
4866/1000, 16
487/100, 29
49/10, 151
49/12, 2
490/100, 237
491/100, 203
491520/65536, 26
4917/1000, 5
4918/1000, 2
4919/1000, 1
492/100, 101
4930/1000, 1
494/100, 1
495263424/134217728, 1
4954/1000, 237
496/100, 647
496875/100000, 1
497/100, 682
4970/1000, 179
4970854/1000000, 185
4970855/1000000, 10
497085571/100000000, 1
4971/1000, 124
498/100, 54
499038/65536, 1630
499712/65536, 1491
5/1, 1246
50/10, 1037
500/100, 2431
5000000/1000000, 7
502/100, 71
5021/1000, 1
5022/1000, 2
5032/1000, 10
506/100, 3
507/100, 329
5071/1000, 14
5072/1000, 14
508/100, 1
509/100, 1
50950/6673, 4
5097/1000, 3
51/10, 22
51/8, 9
510/100, 8
510027360/134217728, 2
511/100, 10
512/100, 339
5120/1000, 1
5121/1000, 400
5122/1000, 58
513/100, 1
514/100, 1
516/100, 20
517/100, 2
5170/1000, 4
5171/1000, 4
518/100, 1
52/10, 38
52/12, 2
520/100, 24
5217/1000, 1
5219/1000, 1
522/100, 37
524/100, 4
524288/65536, 1819
5248/1000, 7
525/100, 14
526/100, 71
527/100, 1
528/100, 15
53/10, 231
53/8, 11
530/100, 392
531/100, 284
5310/1000, 31
5310704/1000000, 80
5311/1000, 15
532/100, 4
533/100, 81
534/100, 1
5347/1000, 10
535/100, 176
5356/1000, 2
5357/1482, 7
536/100, 368
5365/1872, 5
536870912/134217728, 23
536870912/536870912, 2
537/100, 2
5375000/1000000, 2
537919488/536872960, 1
537921536/536872960, 4
538/100, 2
5399/1000, 8
54/10, 87
54/12, 8
54/32, 18
540/100, 717
5400/1000, 58
5401/1000, 16
542/100, 32
543/100, 1
544/100, 6
5444/1000, 1
545/100, 10
546560/65536, 292
547/100, 1427
548/100, 51
5488/1000, 35
548864/65536, 443
549/100, 14
55/10, 653
55/8, 1
550/100, 125
551/100, 10
552/100, 2
553/100, 6
5531/1000, 1
554/100, 3
