ifds_SubjectDistance ,Count
4401/1000, 5
441/1000, 9
441250/1000, 1
443/1000, 3
445/1000, 2
447/1000, 3
4473/1000, 2
448/1000, 9
449/1000, 2
45/100, 3
450/1000, 1
4509/1000, 3
4511/1000, 8
452/100, 2
452/1000, 1
453/1000, 2
454/100, 4
454/1000, 1
4540/1000, 1
455/1000, 24
456/1000, 5
4567/1000, 1
457/100, 2
457/1000, 2
458/1000, 3
458537/1000, 1
46/100, 6
460/100, 2
460/1000, 4
461/1000, 35
463/100, 1
463/1000, 2
463158/1000, 1
463750/1000, 1
464/1000, 1
466/1000, 2
4668/1000, 2
467/1000, 1
4672/1000, 2
4673/1000, 1
4680/1000, 6
469/1000, 1
470/1000, 2
471/1000, 40
474/1000, 1
4743/1000, 1
4750/1000, 1
4753/1000, 1
4757/1000, 2
476/100, 5
476/1000, 3
478/1000, 10
4780/1000, 3
479/1000, 4
48/100, 1
480/1000, 1
482/1000, 7
485/1000, 1
486/100, 28
4864/1000, 7
487/1000, 1
4879/1000, 2
488/1000, 3
4882/1000, 2
489/1000, 2
49/100, 2
490/1000, 2
490000/1000, 1
491/1000, 4
4913/1000, 1
492/1000, 7
4927/1000, 8
493/1000, 1
493750/1000, 1
494/1000, 1
495/1000, 2
4959/1000, 6
496/1000, 24
4960/1000, 1
4966/1000, 1
497/100, 1
497/1000, 1
4979/1000, 2
498/1000, 1
4982/1000, 1
499/1000, 4
4993/1000, 1
500/100, 30
500/1000, 1
5000/100, 28
5000/1000, 1
501/1000, 1
5013/1000, 1
503/1000, 2
5043/1000, 1
505/1000, 25
5052/1000, 6
506/1000, 1
5061/1000, 1
506195/1000, 1
5066/1000, 3
508/1000, 2
5085/1000, 3
5088/1000, 1
51/100, 1
5108/1000, 1
513/1000, 7
5136/1000, 1
5161/1000, 1
5166/1000, 3
5172/1000, 1
518/100, 1
518/1000, 2
519/1000, 1
521/1000, 1
521595/1000, 1
523/1000, 2
5231/1000, 1
525/1000, 49
5252/1000, 1
526/1000, 3
5263/1000, 1
53/100, 2
