ifds_SubjectLocation1 ,Count
, 1282291
0, 162
1040, 1026, 382, 384, 1
1040, 1093, 382, 384, 1
1040, 1154, 293, 293, 1
1040, 1173, 484, 484, 1
1040, 1208, 382, 384, 1
1040, 662, 382, 384, 1
1040, 781, 382, 384, 1
1040, 827, 382, 384, 1
1040, 887, 382, 384, 1
1040, 917, 484, 484, 1
1041, 1465, 603, 607, 1
1041, 427, 359, 270, 2
1041, 971, 609, 612, 1
1042, 1049, 484, 484, 1
1042, 1113, 484, 484, 1
1042, 1175, 484, 484, 2
1042, 1187, 610, 612, 1
1042, 1233, 610, 612, 1
1042, 1314, 610, 612, 1
1042, 1488, 610, 612, 1
1042, 572, 610, 612, 1
1042, 718, 484, 484, 1
1042, 760, 484, 484, 1
1042, 797, 484, 484, 1
1042, 913, 610, 612, 1
1044, 1391, 414, 414, 1
1044, 543, 359, 270, 3
1045, 1049, 484, 484, 1
1045, 1050, 382, 384, 1
1045, 1105, 484, 484, 1
1045, 1122, 382, 384, 1
1045, 1233, 382, 384, 2
1045, 1564, 610, 612, 1
1045, 569, 382, 384, 1
1045, 709, 382, 384, 1
1045, 723, 382, 384, 2
1045, 729, 382, 384, 2
1045, 829, 382, 384, 1
1045, 909, 484, 484, 1
1046, 1293, 221, 222, 1
1047, 772, 382, 384, 1
1047, 826, 382, 384, 1
1048, 1368, 484, 484, 1
1048, 429, 359, 270, 1
1049, 1150, 610, 612, 1
1049, 1316, 382, 384, 1
1049, 1600, 258, 258, 1
1049, 873, 610, 612, 1
1049, 940, 610, 612, 1
1050, 1088, 484, 484, 1
1050, 528, 330, 330, 1
1050, 576, 484, 484, 1
1051, 1084, 382, 384, 1
1051, 1224, 603, 612, 2
1051, 1309, 603, 612, 1
1051, 488, 382, 384, 1
1051, 642, 382, 384, 1
1051, 685, 382, 384, 1
1051, 691, 382, 384, 1
1051, 820, 382, 384, 1
1052, 1270, 610, 612, 1
1052, 1373, 610, 612, 1
1052, 1478, 610, 612, 1
1052, 1747, 610, 612, 1
1052, 1828, 610, 612, 1
1053, 1006, 320, 320, 1
1053, 531, 682, 682, 1
1053, 993, 382, 384, 1
1054, 1500, 443, 443, 1
1055, 1020, 610, 612, 1
1055, 1035, 484, 484, 1
1055, 1098, 382, 384, 1
1055, 1209, 610, 612, 1
1055, 1248, 484, 484, 1
1055, 1253, 610, 612, 1
1055, 1554, 610, 612, 1
1055, 1615, 610, 612, 1
1055, 396, 610, 612, 1
1055, 402, 382, 384, 1
1055, 752, 382, 384, 1
1055, 815, 382, 384, 1
1055, 851, 484, 484, 1
1055, 882, 484, 484, 1
1055, 960, 484, 484, 1
1056, 1000, 607, 607, 1
1056, 1662, 320, 384, 1
1056, 264, 168, 168, 1
1056, 787, 264, 264, 1
1057, 1055, 382, 384, 1
1057, 875, 440, 439, 1
1058, 1023, 610, 612, 1
1058, 1055, 610, 612, 1
1058, 1135, 610, 612, 1
1058, 1184, 610, 612, 1
1058, 609, 484, 484, 1
1058, 937, 484, 484, 1
1058, 942, 610, 612, 1
1058, 952, 484, 484, 1
1059, 744, 382, 384, 1
1060, 1060, 280, 281, 1
1060, 1604, 292, 292, 1
1060, 1893, 443, 443, 1
1061, 1521, 251, 252, 1
1061, 593, 231, 232, 1
1061, 594, 382, 384, 1
1061, 635, 375, 376, 1
1061, 695, 382, 384, 1
1061, 748, 382, 384, 1
1061, 751, 484, 484, 1
1061, 795, 382, 384, 1
1061, 797, 382, 384, 1
1061, 894, 484, 484, 1
1061, 919, 484, 484, 1
1061, 973, 382, 384, 1
1062, 1035, 610, 612, 2
1062, 1057, 610, 612, 1
1062, 1184, 610, 612, 1
1062, 1412, 610, 612, 1
1062, 1542, 610, 612, 1
1062, 1665, 682, 682, 1
1062, 402, 210, 210, 1
1062, 815, 610, 612, 1
1063, 766, 484, 484, 1
1063, 825, 600, 609, 1
1063, 828, 484, 484, 1
1063, 854, 382, 384, 1
1064, 1231, 609, 612, 1
1065, 1030, 382, 384, 1
1065, 1074, 610, 612, 1
1065, 1184, 610, 612, 1
1065, 1219, 610, 612, 1
1065, 1247, 382, 384, 1
1065, 1251, 382, 384, 1
1065, 1853, 610, 612, 1
1065, 553, 610, 612, 1
1065, 714, 382, 384, 1
1065, 723, 382, 384, 1
1065, 854, 382, 384, 1
1065, 930, 382, 384, 1
1065, 973, 382, 384, 1
1066, 1070, 484, 484, 1
1066, 1191, 601, 611, 1
1066, 894, 484, 484, 1
1068, 1206, 484, 484, 1
1068, 1211, 447, 447, 1
1068, 1317, 610, 612, 1
1068, 1589, 484, 484, 1
1068, 1872, 610, 612, 1
1068, 270, 240, 234, 1
1068, 751, 484, 484, 1
1068, 942, 458, 456, 1
1069, 1012, 382, 384, 1
1069, 1055, 382, 384, 1
1069, 1222, 382, 384, 1
1069, 777, 382, 384, 2
1069, 834, 382, 384, 1
1069, 895, 382, 384, 1
1069, 944, 382, 384, 1
1071, 1031, 484, 484, 1
1071, 1037, 484, 484, 1
1071, 1231, 382, 384, 1
1071, 869, 484, 484, 1
1072, 1368, 610, 612, 1
1073, 731, 382, 384, 1
1074, 1053, 484, 484, 1
1074, 1064, 484, 484, 1
1074, 1076, 484, 484, 1
1074, 1083, 925, 925, 1
1074, 1153, 484, 484, 1
1074, 1465, 484, 484, 1
1074, 2008, 241, 250, 1
1074, 629, 484, 484, 1
1075, 1018, 610, 612, 1
1075, 1036, 382, 384, 1
1075, 1077, 610, 612, 1
1075, 1091, 610, 612, 1
1075, 1228, 610, 612, 1
1075, 1441, 610, 612, 1
1075, 1471, 610, 612, 1
1075, 1566, 610, 612, 1
1075, 464, 265, 265, 1
1075, 863, 382, 384, 1
1075, 864, 610, 612, 1
1076, 1058, 484, 484, 1
1076, 1148, 484, 484, 1
1076, 1822, 221, 222, 1
1076, 904, 484, 484, 1
1076, 977, 484, 484, 1
1077, 807, 382, 384, 1
1078, 1268, 610, 612, 1
1078, 1392, 610, 612, 1
1078, 193, 610, 386, 1
1078, 864, 610, 612, 1
1078, 898, 610, 612, 1
1079, 1072, 484, 484, 1
1079, 1124, 484, 484, 1
1079, 1140, 282, 282, 1
1079, 1148, 484, 484, 1
1079, 1222, 382, 384, 1
1079, 1231, 382, 384, 1
1079, 1241, 382, 384, 1
1079, 513, 382, 384, 1
1079, 685, 382, 384, 1
1079, 815, 382, 384, 1
1079, 866, 382, 384, 1
1081, 1157, 610, 612, 1
1081, 1190, 484, 484, 1
1081, 1206, 484, 484, 1
1081, 1372, 484, 484, 1
1081, 1390, 484, 484, 1
1081, 1426, 421, 421, 1
1081, 1858, 610, 612, 1
1081, 615, 484, 484, 1
1081, 778, 610, 612, 1
1081, 785, 107, 107, 1
1081, 839, 610, 612, 1
1081, 856, 610, 612, 1
1083, 279, 214, 214, 1
1083, 748, 382, 384, 1
1083, 797, 382, 384, 1
1084, 1012, 484, 484, 1
1084, 1349, 484, 484, 1
1084, 691, 484, 484, 1
1085, 1084, 610, 612, 1
1085, 1158, 221, 222, 1
1085, 1321, 610, 612, 1
1086, 1109, 608, 607, 1
1086, 588, 484, 484, 1
1086, 954, 484, 484, 1
1088, 1056, 320, 320, 11
1088, 1811, 590, 589, 1
1088, 2053, 610, 612, 1
1088, 634, 610, 612, 1
1088, 915, 610, 612, 1
1089, 1716, 609, 612, 1
1089, 813, 484, 484, 1
1090, 1041, 382, 384, 1
1090, 1218, 382, 384, 1
1090, 560, 382, 384, 1
1090, 691, 382, 384, 1
1090, 748, 382, 384, 1
1090, 834, 382, 384, 1
1090, 854, 382, 384, 1
1091, 1145, 884, 886, 1
1091, 1540, 610, 609, 1
1091, 1738, 610, 612, 1
1091, 592, 610, 612, 1
1091, 805, 610, 612, 1
1092, 1012, 484, 484, 1
1092, 149, 484, 298, 1
1092, 231, 484, 462, 5
1092, 744, 382, 384, 1
1092, 783, 382, 384, 1
1092, 877, 484, 484, 1
1094, 1055, 610, 612, 1
1094, 1059, 610, 612, 1
1094, 1075, 382, 384, 1
1094, 1148, 484, 484, 1
1094, 1600, 610, 612, 1
1094, 273, 120, 120, 1
1094, 354, 382, 384, 1
1094, 556, 382, 384, 1
1094, 671, 382, 384, 1
1094, 693, 610, 609, 1
1094, 777, 382, 384, 1
1094, 791, 382, 384, 1
1094, 795, 382, 384, 1
1094, 834, 484, 484, 2
1094, 855, 484, 484, 1
1094, 863, 382, 384, 1
1094, 942, 484, 484, 1
1095, 1415, 178, 178, 1
1097, 1151, 484, 484, 1
1097, 1243, 418, 418, 1
1097, 1502, 484, 484, 1
1097, 1527, 603, 607, 1
1097, 706, 484, 484, 1
1097, 766, 484, 484, 1
1098, 1096, 610, 612, 1
1098, 1113, 382, 384, 1
1098, 1133, 610, 612, 2
1098, 1219, 382, 384, 1
1098, 1390, 610, 609, 1
1098, 1427, 610, 612, 1
1098, 1806, 610, 612, 1
1098, 222, 162, 162, 1
1098, 569, 382, 384, 1
1098, 600, 208, 159, 5
1098, 743, 382, 384, 1
1098, 791, 382, 384, 1
1098, 800, 382, 384, 1
1098, 882, 342, 342, 2
1099, 1221, 484, 484, 1
1099, 1248, 484, 484, 1
1099, 2050, 241, 250, 1
1099, 815, 484, 484, 1
1099, 991, 484, 484, 1
1099, 995, 484, 484, 1
1100, 571, 382, 384, 1
1101, 1422, 610, 612, 1
1101, 1539, 610, 612, 1
1102, 1028, 484, 484, 1
1102, 1486, 484, 484, 1
1102, 1664, 456, 457, 1
1102, 753, 484, 484, 1
1102, 771, 382, 384, 1
1103, 1439, 610, 612, 1
1104, 1007, 382, 384, 1
1104, 1013, 610, 612, 1
1104, 1033, 610, 612, 1
1104, 1062, 610, 612, 1
1104, 1104, 610, 612, 1
1104, 1187, 610, 612, 1
1104, 1195, 382, 384, 1
1104, 1247, 382, 384, 1
1104, 1468, 243, 250, 1
1104, 1873, 610, 609, 1
1104, 675, 382, 384, 1
1104, 714, 382, 384, 1
1104, 777, 382, 384, 1
1104, 849, 382, 384, 1
1105, 1076, 484, 484, 1
1105, 1091, 484, 484, 1
1105, 1124, 484, 484, 1
1105, 1148, 484, 484, 1
1105, 565, 484, 484, 1
1105, 968, 484, 484, 1
1105, 995, 484, 484, 1
1106, 912, 443, 443, 1
1106, 940, 609, 612, 1
1107, 1226, 610, 612, 1
1107, 1255, 610, 612, 1
1107, 1490, 610, 612, 1
1107, 592, 610, 612, 1
1107, 656, 610, 612, 1
1107, 722, 484, 484, 1
1107, 743, 484, 484, 1
1108, 1007, 382, 384, 1
1108, 1781, 611, 611, 1
1108, 278, 382, 384, 1
