ifds_ExifInteroperabilityOffset ,Count
@ 0x064B, 3
@ 0x064F, 1
@ 0x0652, 82
@ 0x0654, 1
@ 0x065A, 19
@ 0x065C, 1
@ 0x065E, 29
@ 0x065F, 10
@ 0x0660, 4
@ 0x0662, 1
@ 0x0664, 3
@ 0x0666, 28
@ 0x066A, 1
@ 0x066C, 25
@ 0x066E, 2
@ 0x0670, 1
@ 0x0672, 37
@ 0x0676, 8
@ 0x0678, 194
@ 0x0679, 2
@ 0x067C, 26
@ 0x067E, 211
@ 0x0682, 51
@ 0x0684, 95
@ 0x068A, 21
@ 0x068C, 1
@ 0x068E, 74
@ 0x0690, 2
@ 0x0692, 1
@ 0x0694, 1
@ 0x0696, 15
@ 0x069A, 19
@ 0x069C, 174
@ 0x069E, 28
@ 0x06A0, 2
@ 0x06A2, 2
@ 0x06A4, 2
@ 0x06A5, 1
@ 0x06A6, 2
@ 0x06A7, 3
@ 0x06AA, 139
@ 0x06AC, 1
@ 0x06AE, 124
@ 0x06B0, 4
@ 0x06B2, 5226
@ 0x06B4, 3
@ 0x06B6, 1
@ 0x06BB, 1
@ 0x06BC, 3
@ 0x06BE, 26
@ 0x06C0, 4
@ 0x06C2, 14
@ 0x06C4, 1059
@ 0x06C6, 1
@ 0x06C8, 26
@ 0x06CA, 1
@ 0x06CC, 2
@ 0x06CE, 1
@ 0x06D0, 3
@ 0x06D2, 1
@ 0x06D4, 24
@ 0x06D6, 38
@ 0x06D8, 36
@ 0x06DA, 282
@ 0x06DC, 4
@ 0x06DE, 10
@ 0x06E0, 8
@ 0x06E2, 9
@ 0x06E4, 8
@ 0x06E6, 63
@ 0x06E7, 1
@ 0x06E8, 1
@ 0x06EA, 22
@ 0x06EC, 20
@ 0x06EE, 3
@ 0x06EF, 2
@ 0x06F0, 52
@ 0x06F1, 20
@ 0x06F2, 159
@ 0x06F3, 18
@ 0x06F4, 4
@ 0x06F6, 73
@ 0x06F8, 27
@ 0x06FC, 28
@ 0x06FE, 29
@ 0x0700, 97
@ 0x0702, 20
@ 0x0704, 8
@ 0x0706, 5
@ 0x0707, 1
@ 0x0708, 16
@ 0x070A, 1
@ 0x070C, 4
@ 0x0710, 242
@ 0x0712, 9
@ 0x0714, 2
@ 0x0716, 4
@ 0x0718, 10
@ 0x071A, 3
@ 0x071C, 1
@ 0x071E, 21
@ 0x0722, 12
@ 0x0724, 5
@ 0x0725, 234
@ 0x0728, 58
@ 0x0729, 12
@ 0x072A, 1
@ 0x072B, 1
@ 0x072D, 1
@ 0x072E, 36
@ 0x0730, 1314
@ 0x0731, 34
@ 0x0732, 508
@ 0x0734, 2503
@ 0x0736, 853
@ 0x0738, 53
@ 0x0739, 1
@ 0x073A, 25
@ 0x073B, 2
@ 0x073C, 2
@ 0x073E, 135
@ 0x0740, 17
@ 0x0742, 25
@ 0x0744, 5738
@ 0x0746, 95
@ 0x0747, 1
@ 0x0748, 6
@ 0x074A, 354
@ 0x074C, 8
@ 0x074E, 1928
@ 0x0750, 4880
@ 0x0752, 36
@ 0x0754, 56
@ 0x0756, 1
@ 0x0758, 161
@ 0x075A, 558
@ 0x075C, 2
@ 0x0760, 1
@ 0x0762, 1
@ 0x0764, 72
@ 0x0768, 11
@ 0x076A, 88
@ 0x076C, 494
@ 0x0772, 1
@ 0x0774, 68
@ 0x0776, 21
@ 0x0778, 1
@ 0x077A, 2
@ 0x077E, 10
@ 0x0780, 60
@ 0x0784, 87
@ 0x0786, 2
@ 0x0788, 8
@ 0x078A, 37
@ 0x078C, 44
@ 0x0790, 13
@ 0x0792, 15
@ 0x0794, 104
@ 0x0796, 1
@ 0x0798, 1038
@ 0x079A, 1
@ 0x079C, 200
@ 0x079E, 1
@ 0x07A0, 1
@ 0x07A3, 1
@ 0x07A4, 43
@ 0x07A6, 142
@ 0x07A8, 25
@ 0x07AE, 1
@ 0x07B0, 138
@ 0x07B2, 14
@ 0x07B4, 3
@ 0x07B6, 7
@ 0x07B8, 4
@ 0x07BC, 10
@ 0x07C0, 7
@ 0x07C1, 1
@ 0x07C4, 3
@ 0x07C5, 3
@ 0x07C6, 116
@ 0x07C8, 25
@ 0x07CA, 15
@ 0x07CC, 39
@ 0x07D0, 3
@ 0x07D2, 1
@ 0x07D4, 34
@ 0x07D6, 3
@ 0x07D7, 1
@ 0x07D8, 21
@ 0x07DA, 1
@ 0x07DC, 17
@ 0x07E0, 64
@ 0x07E2, 1
@ 0x07E3, 14
@ 0x07E6, 1
@ 0x07E8, 362
@ 0x07EA, 121
@ 0x07EE, 2
@ 0x07EF, 148
@ 0x07F0, 66
@ 0x07F3, 1
@ 0x07F4, 1624
@ 0x07F6, 33
@ 0x07F8, 3
@ 0x07FC, 5
@ 0x0802, 4
@ 0x0804, 588
@ 0x0806, 22
@ 0x0807, 3
@ 0x080E, 33
@ 0x0810, 4
@ 0x0812, 12
@ 0x0814, 26
@ 0x081A, 2
@ 0x081C, 17
@ 0x081F, 3
@ 0x0824, 40
@ 0x0826, 67
@ 0x0828, 6
@ 0x082A, 10
@ 0x082C, 4
@ 0x0832, 1
@ 0x0834, 9
@ 0x0836, 128
@ 0x083A, 16
@ 0x083C, 2
@ 0x083E, 172
@ 0x0840, 11
@ 0x0842, 67
@ 0x0844, 47
@ 0x0846, 53
@ 0x0848, 14
@ 0x084D, 57
@ 0x0852, 8
@ 0x0854, 20
@ 0x0858, 13
@ 0x085C, 1
@ 0x085D, 1
@ 0x085E, 3741
@ 0x0860, 17
@ 0x0862, 1
@ 0x0863, 1
@ 0x0864, 1
@ 0x0866, 2
@ 0x0868, 1
@ 0x086C, 494
@ 0x086E, 7
@ 0x0870, 80
@ 0x0872, 12
@ 0x0874, 8
@ 0x0876, 1
@ 0x0878, 9
@ 0x087A, 11
@ 0x087C, 1580
@ 0x087E, 1777
@ 0x0880, 41
@ 0x0882, 5900
@ 0x0884, 2
@ 0x0886, 6
@ 0x088A, 5
@ 0x088C, 20
@ 0x088E, 4
@ 0x0890, 1
@ 0x0892, 28
@ 0x0894, 53
@ 0x0898, 891
@ 0x089C, 1
@ 0x089D, 64
@ 0x089E, 7642
@ 0x08A0, 4
@ 0x08A1, 2
@ 0x08A2, 3
@ 0x08A6, 3179
@ 0x08A7, 1
@ 0x08A8, 141
@ 0x08AA, 2908
@ 0x08AC, 1
@ 0x08AD, 1
@ 0x08AE, 2
@ 0x08B0, 695
@ 0x08B2, 3197
@ 0x08B4, 3
@ 0x08B5, 3
@ 0x08B6, 6
@ 0x08B8, 28
@ 0x08BA, 48
@ 0x08BC, 41
@ 0x08BE, 70
@ 0x08BF, 5
@ 0x08C0, 11
@ 0x08C1, 17
@ 0x08C2, 2
@ 0x08C4, 23
@ 0x08C5, 1
@ 0x08C6, 4
@ 0x08C8, 18
@ 0x08CA, 4
@ 0x08D0, 1
@ 0x08D2, 1
@ 0x08D4, 3
@ 0x08D5, 1
@ 0x08D6, 4
@ 0x08D7, 24
@ 0x08D8, 5
@ 0x08DA, 10
@ 0x08DC, 19
@ 0x08DE, 6
@ 0x08E0, 118
@ 0x08E3, 2
@ 0x08E4, 6522
@ 0x08E6, 11767
@ 0x08E8, 3541
@ 0x08EA, 38
@ 0x08EC, 32
@ 0x08F2, 11
@ 0x08F4, 81
@ 0x08F6, 1
@ 0x08F8, 41
@ 0x08FA, 7
@ 0x08FC, 9
@ 0x0900, 35
@ 0x0904, 7
@ 0x0906, 4
@ 0x0908, 3
@ 0x090A, 314
@ 0x090C, 5
@ 0x090E, 377
@ 0x0910, 412
@ 0x0911, 34
@ 0x0914, 16
@ 0x091A, 1413
@ 0x091C, 1
@ 0x091E, 34
@ 0x0922, 1
@ 0x0926, 12
@ 0x0928, 3
@ 0x0929, 17
@ 0x0935, 19
@ 0x0936, 23
@ 0x0938, 2
@ 0x093A, 566
@ 0x093C, 1
@ 0x093E, 5248
@ 0x0940, 1
@ 0x0944, 2
@ 0x0946, 33
@ 0x094A, 107
@ 0x094C, 955
@ 0x094E, 17
@ 0x0950, 2
@ 0x0954, 4
@ 0x0956, 35
@ 0x0957, 13
@ 0x0958, 3
@ 0x0960, 61
@ 0x0962, 61
@ 0x0964, 1849
@ 0x0966, 6
@ 0x0968, 8
@ 0x096A, 55
@ 0x096C, 5
@ 0x096E, 66
@ 0x0970, 3
@ 0x0972, 103
@ 0x0978, 1
@ 0x097A, 3
@ 0x097C, 6
@ 0x0980, 13
@ 0x0984, 1
@ 0x0986, 241
@ 0x0990, 30
@ 0x0992, 70
@ 0x0998, 2
@ 0x099E, 1
@ 0x09A0, 5
@ 0x09A8, 5
@ 0x09AA, 7
@ 0x09AE, 1
@ 0x09B0, 5
@ 0x09B2, 2
@ 0x09B6, 1
@ 0x09B9, 1
@ 0x09BA, 515
@ 0x09BC, 42
@ 0x09BE, 2790
@ 0x09C0, 3
@ 0x09C2, 5
